Date	Time	Temp (°C) c:1	Coupler Detached	Coupler Attached	Host Connected	Stopped	End Of File
10-06-22	13:30:00	32.021	Logged				
10-06-22	13:40:00	31.612					
10-06-22	13:50:00	31.204					
10-06-22	14:00:00	31.001					
10-06-22	14:10:00	30.849					
10-06-22	14:20:00	31.689					
10-06-22	14:30:00	32.613					
10-06-22	14:40:00	33.940					
10-06-22	14:50:00	33.809					
10-06-22	15:00:00	32.458					
10-06-22	15:10:00	31.944					
10-06-22	15:20:00	32.021					
10-06-22	15:30:00	31.970					
10-06-22	15:40:00	33.809					
10-06-22	15:50:00	37.508					
10-06-22	16:00:00	27.825					
10-06-22	16:10:00	27.087					
10-06-22	16:20:00	26.916					
10-06-22	16:30:00	26.769					
10-06-22	16:40:00	26.622					
10-06-22	16:50:00	26.500					
10-06-22	17:00:00	26.378					
10-06-22	17:10:00	26.280					
10-06-22	17:20:00	26.182					
10-06-22	17:30:00	26.109					
10-06-22	17:40:00	26.036					
10-06-22	17:50:00	25.987					
10-06-22	18:00:00	25.914					
10-06-22	18:10:00	25.866					
10-06-22	18:20:00	25.841					
10-06-22	18:30:00	25.793					
10-06-22	18:40:00	25.768					
10-06-22	18:50:00	25.720					
10-06-22	19:00:00	25.695					
10-06-22	19:10:00	25.671					
10-06-22	19:20:00	25.671					
10-06-22	19:30:00	25.647					
10-06-22	19:40:00	25.647					
10-06-22	19:50:00	25.623					
10-06-22	20:00:00	25.623					
10-06-22	20:10:00	25.623					
10-06-22	20:20:00	25.598					
10-06-22	20:30:00	25.598					
10-06-22	20:40:00	25.598					
10-06-22	20:50:00	25.598					
10-06-22	21:00:00	25.598					
10-06-22	21:10:00	25.598					
10-06-22	21:20:00	25.598					
10-06-22	21:30:00	25.598					
10-06-22	21:40:00	25.598					
10-06-22	21:50:00	25.598					
10-06-22	22:00:00	25.598					
10-06-22	22:10:00	25.598					
10-06-22	22:20:00	25.598					
10-06-22	22:30:00	25.598					
10-06-22	22:40:00	25.598					
10-06-22	22:50:00	25.598					
10-06-22	23:00:00	25.598					
10-06-22	23:10:00	25.574					
10-06-22	23:20:00	25.574					
10-06-22	23:30:00	25.574					
10-06-22	23:40:00	25.574					
10-06-22	23:50:00	25.574					
11-06-22	00:00:00	25.574					
11-06-22	00:10:00	25.550					
11-06-22	00:20:00	25.550					
11-06-22	00:30:00	25.550					
11-06-22	00:40:00	25.550					
11-06-22	00:50:00	25.525					
11-06-22	01:00:00	25.525					
11-06-22	01:10:00	25.525					
11-06-22	01:20:00	25.525					
11-06-22	01:30:00	25.525					
11-06-22	01:40:00	25.501					
11-06-22	01:50:00	25.501					
11-06-22	02:00:00	25.501					
11-06-22	02:10:00	25.501					
11-06-22	02:20:00	25.477					
11-06-22	02:30:00	25.477					
11-06-22	02:40:00	25.477					
11-06-22	02:50:00	25.453					
11-06-22	03:00:00	25.453					
11-06-22	03:10:00	25.453					
11-06-22	03:20:00	25.428					
11-06-22	03:30:00	25.428					
11-06-22	03:40:00	25.428					
11-06-22	03:50:00	25.428					
11-06-22	04:00:00	25.404					
11-06-22	04:10:00	25.404					
11-06-22	04:20:00	25.380					
11-06-22	04:30:00	25.380					
11-06-22	04:40:00	25.380					
11-06-22	04:50:00	25.380					
11-06-22	05:00:00	25.355					
