Date	Time	Temp (°C) c:1	Coupler Detached	Coupler Attached	Host Connected	Stopped	End Of File
10-06-22	13:30:00	32.253	Logged				
10-06-22	13:40:00	31.561					
10-06-22	13:50:00	31.306					
10-06-22	14:00:00	31.128					
10-06-22	14:10:00	30.824					
10-06-22	14:20:00	31.459					
10-06-22	14:30:00	32.536					
10-06-22	14:40:00	33.966					
10-06-22	14:50:00	33.287					
10-06-22	15:00:00	32.458					
10-06-22	15:10:00	32.073					
10-06-22	15:20:00	32.820					
10-06-22	15:30:00	34.545					
10-06-22	15:40:00	36.633					
10-06-22	15:50:00	30.520					
10-06-22	16:00:00	29.615					
10-06-22	16:10:00	29.540					
10-06-22	16:20:00	29.414					
10-06-22	16:30:00	29.414					
10-06-22	16:40:00	29.290					
10-06-22	16:50:00	29.190					
10-06-22	17:00:00	29.115					
10-06-22	17:10:00	29.040					
10-06-22	17:20:00	28.941					
10-06-22	17:30:00	28.841					
10-06-22	17:40:00	28.717					
10-06-22	17:50:00	28.593					
10-06-22	18:00:00	28.493					
10-06-22	18:10:00	28.394					
10-06-22	18:20:00	28.270					
10-06-22	18:30:00	28.171					
10-06-22	18:40:00	28.048					
10-06-22	18:50:00	27.924					
10-06-22	19:00:00	27.801					
10-06-22	19:10:00	27.702					
10-06-22	19:20:00	27.554					
10-06-22	19:30:00	27.431					
10-06-22	19:40:00	27.308					
10-06-22	19:50:00	27.210					
10-06-22	20:00:00	27.136					
10-06-22	20:10:00	27.063					
10-06-22	20:20:00	26.965					
10-06-22	20:30:00	26.891					
10-06-22	20:40:00	26.793					
10-06-22	20:50:00	26.744					
10-06-22	21:00:00	26.720					
10-06-22	21:10:00	26.671					
10-06-22	21:20:00	26.622					
10-06-22	21:30:00	26.549					
10-06-22	21:40:00	26.500					
10-06-22	21:50:00	26.426					
10-06-22	22:00:00	26.353					
10-06-22	22:10:00	26.280					
10-06-22	22:20:00	26.280					
10-06-22	22:30:00	26.256					
10-06-22	22:40:00	26.231					
10-06-22	22:50:00	26.256					
10-06-22	23:00:00	26.207					
10-06-22	23:10:00	26.158					
10-06-22	23:20:00	26.109					
10-06-22	23:30:00	26.061					
10-06-22	23:40:00	26.036					
10-06-22	23:50:00	26.012					
11-06-22	00:00:00	25.963					
11-06-22	00:10:00	25.914					
11-06-22	00:20:00	25.914					
11-06-22	00:30:00	25.866					
11-06-22	00:40:00	25.841					
11-06-22	00:50:00	25.793					
11-06-22	01:00:00	25.768					
11-06-22	01:10:00	25.744					
11-06-22	01:20:00	25.695					
11-06-22	01:30:00	25.671					
11-06-22	01:40:00	25.647					
11-06-22	01:50:00	25.623					
11-06-22	02:00:00	25.574					
11-06-22	02:10:00	25.525					
11-06-22	02:20:00	25.501					
11-06-22	02:30:00	25.477					
11-06-22	02:40:00	25.453					
11-06-22	02:50:00	25.428					
11-06-22	03:00:00	25.404					
11-06-22	03:10:00	25.380					
11-06-22	03:20:00	25.355					
11-06-22	03:30:00	25.331					
11-06-22	03:40:00	25.283					
11-06-22	03:50:00	25.210					
11-06-22	04:00:00	25.186					
11-06-22	04:10:00	25.186					
11-06-22	04:20:00	25.113					
11-06-22	04:30:00	25.137					
11-06-22	04:40:00	25.113					
11-06-22	04:50:00	25.089					
11-06-22	05:00:00	25.065					
11-06-22	05:10:00	25.040					
11-06-22	05:20:00	24.992					
11-06-22	05:30:00	24.968					
11-06-22	05:40:00	24.944					
11-06-22	05:50:00	24.919					
11-06-22	06:00:00	24.919					
11-06-22	06:10:00	24.895					
11-06-22	06:20:00	24.871					
11-06-22	06:30:00	24.847					
11-06-22	06:40:00	24.823					
11-06-22	06:50:00	24.823					
11-06-22	07:00:00	24.823					
11-06-22	07:10:00	24.823					
11-06-22	07:20:00	24.823					
11-06-22	07:30:00	24.823					
11-06-22	07:40:00	24.823					
11-06-22	07:50:00	24.823					
11-06-22	08:00:00	24.823					
11-06-22	08:10:00	24.798					
11-06-22	08:20:00	24.798					
11-06-22	08:30:00	24.774					
11-06-22	08:40:00	24.750					
11-06-22	08:50:00	24.750					
11-06-22	09:00:00	24.774					
11-06-22	09:10:00	24.774					
11-06-22	09:20:00	24.798					
11-06-22	09:30:00	24.823					
11-06-22	09:40:00	24.847					
11-06-22	09:50:00	24.847					
11-06-22	10:00:00	24.871					
11-06-22	10:10:00	24.919					
11-06-22	10:20:00	25.016					
11-06-22	10:30:00	25.065					
11-06-22	10:40:00	25.234					
11-06-22	10:50:00	25.477					
11-06-22	11:00:00	25.598					
11-06-22	11:10:00	25.817					
11-06-22	11:20:00	26.036					
11-06-22	11:30:00	26.231					
11-06-22	11:40:00	26.524					
11-06-22	11:50:00	26.695					
11-06-22	12:00:00	26.842					
11-06-22	12:10:00	27.235					
11-06-22	12:20:00	27.530					
11-06-22	12:30:00	27.677					
11-06-22	12:40:00	27.974					
11-06-22	12:50:00	28.196					
11-06-22	13:00:00	28.419					
11-06-22	13:10:00	28.543					
11-06-22	13:20:00	28.543					
11-06-22	13:30:00	28.568					
11-06-22	13:40:00	28.766					
11-06-22	13:50:00	28.866					
11-06-22	14:00:00	28.891					
11-06-22	14:10:00	28.990					
11-06-22	14:20:00	29.215					
11-06-22	14:30:00	29.290					
11-06-22	14:40:00	29.389					
11-06-22	14:50:00	29.515					
11-06-22	15:00:00	29.540					
11-06-22	15:10:00	29.615					
11-06-22	15:20:00	29.590					
11-06-22	15:30:00	29.590					
11-06-22	15:40:00	29.515					
11-06-22	15:50:00	29.464					
11-06-22	16:00:00	29.464					
11-06-22	16:10:00	29.389					
11-06-22	16:20:00	29.340					
11-06-22	16:30:00	29.265					
11-06-22	16:40:00	29.165					
11-06-22	16:50:00	29.215					
11-06-22	17:00:00	29.140					
11-06-22	17:10:00	29.065					
11-06-22	17:20:00	29.065					
11-06-22	17:30:00	28.990					
11-06-22	17:40:00	28.891					
11-06-22	17:50:00	28.841					
11-06-22	18:00:00	28.791					
11-06-22	18:10:00	28.717					
11-06-22	18:20:00	28.593					
11-06-22	18:30:00	28.493					
11-06-22	18:40:00	28.394					
11-06-22	18:50:00	28.270					
11-06-22	19:00:00	28.122					
11-06-22	19:10:00	27.998					
11-06-22	19:20:00	27.899					
11-06-22	19:30:00	27.776					
11-06-22	19:40:00	27.677					
11-06-22	19:50:00	27.604					
11-06-22	20:00:00	27.505					
11-06-22	20:10:00	27.431					
11-06-22	20:20:00	27.358					
11-06-22	20:30:00	27.284					
11-06-22	20:40:00	27.210					
11-06-22	20:50:00	27.136					
11-06-22	21:00:00	27.063					
11-06-22	21:10:00	26.989					
11-06-22	21:20:00	26.916					
11-06-22	21:30:00	26.842					
11-06-22	21:40:00	26.818					
11-06-22	21:50:00	26.744					
11-06-22	22:00:00	26.671					
11-06-22	22:10:00	26.646					
11-06-22	22:20:00	26.598					
11-06-22	22:30:00	26.549					
11-06-22	22:40:00	26.500					
11-06-22	22:50:00	26.451					
11-06-22	23:00:00	26.451					
11-06-22	23:10:00	26.451					
11-06-22	23:20:00	26.426					
11-06-22	23:30:00	26.378					
11-06-22	23:40:00	26.329					
11-06-22	23:50:00	26.304					
12-06-22	00:00:00	26.256					
12-06-22	00:10:00	26.207					
12-06-22	00:20:00	26.158					
12-06-22	00:30:00	26.109					
12-06-22	00:40:00	26.085					
12-06-22	00:50:00	26.061					
12-06-22	01:00:00	26.012					
12-06-22	01:10:00	25.987					
12-06-22	01:20:00	25.963					
12-06-22	01:30:00	25.914					
12-06-22	01:40:00	25.866					
12-06-22	01:50:00	25.817					
12-06-22	02:00:00	25.768					
12-06-22	02:10:00	25.720					
12-06-22	02:20:00	25.695					
12-06-22	02:30:00	25.695					
12-06-22	02:40:00	25.671					
12-06-22	02:50:00	25.647					
12-06-22	03:00:00	25.647					
12-06-22	03:10:00	25.623					
12-06-22	03:20:00	25.598					
12-06-22	03:30:00	25.598					
12-06-22	03:40:00	25.550					
12-06-22	03:50:00	25.525					
12-06-22	04:00:00	25.453					
12-06-22	04:10:00	25.428					
12-06-22	04:20:00	25.380					
12-06-22	04:30:00	25.307					
12-06-22	04:40:00	25.258					
12-06-22	04:50:00	25.210					
12-06-22	05:00:00	25.137					
12-06-22	05:10:00	25.089					
12-06-22	05:20:00	25.089					
12-06-22	05:30:00	25.065					
12-06-22	05:40:00	25.016					
12-06-22	05:50:00	24.992					
12-06-22	06:00:00	24.992					
12-06-22	06:10:00	24.992					
12-06-22	06:20:00	24.968					
12-06-22	06:30:00	24.919					
12-06-22	06:40:00	24.895					
12-06-22	06:50:00	24.895					
12-06-22	07:00:00	24.895					
12-06-22	07:10:00	24.895					
12-06-22	07:20:00	24.871					
12-06-22	07:30:00	24.847					
12-06-22	07:40:00	24.823					
12-06-22	07:50:00	24.798					
12-06-22	08:00:00	24.750					
12-06-22	08:10:00	24.726					
12-06-22	08:20:00	24.702					
12-06-22	08:30:00	24.702					
12-06-22	08:40:00	24.677					
12-06-22	08:50:00	24.677					
12-06-22	09:00:00	24.677					
12-06-22	09:10:00	24.702					
12-06-22	09:20:00	24.726					
12-06-22	09:30:00	24.750					
12-06-22	09:40:00	24.750					
12-06-22	09:50:00	24.798					
12-06-22	10:00:00	24.847					
12-06-22	10:10:00	24.919					
12-06-22	10:20:00	24.992					
12-06-22	10:30:00	25.089					
12-06-22	10:40:00	25.234					
12-06-22	10:50:00	25.380					
12-06-22	11:00:00	25.550					
12-06-22	11:10:00	25.623					
12-06-22	11:20:00	25.695					
12-06-22	11:30:00	25.866					
12-06-22	11:40:00	26.061					
12-06-22	11:50:00	26.475					
12-06-22	12:00:00	26.720					
12-06-22	12:10:00	26.867					
12-06-22	12:20:00	27.063					
12-06-22	12:30:00	27.235					
12-06-22	12:40:00	27.407					
12-06-22	12:50:00	27.653					
12-06-22	13:00:00	27.825					
12-06-22	13:10:00	27.974					
12-06-22	13:20:00	28.023					
12-06-22	13:30:00	28.122					
12-06-22	13:40:00	28.122					
12-06-22	13:50:00	28.221					
12-06-22	14:00:00	28.345					
12-06-22	14:10:00	28.568					
12-06-22	14:20:00	28.717					
12-06-22	14:30:00	28.841					
12-06-22	14:40:00	29.065					
12-06-22	14:50:00	29.040					
12-06-22	15:00:00	29.190					
12-06-22	15:10:00	29.240					
12-06-22	15:20:00	29.165					
12-06-22	15:30:00	29.115					
12-06-22	15:40:00	29.090					
12-06-22	15:50:00	29.015					
12-06-22	16:00:00	28.941					
12-06-22	16:10:00	28.916					
12-06-22	16:20:00	28.841					
12-06-22	16:30:00	28.816					
12-06-22	16:40:00	28.766					
12-06-22	16:50:00	28.816					
12-06-22	17:00:00	28.791					
12-06-22	17:10:00	28.742					
12-06-22	17:20:00	28.692					
12-06-22	17:30:00	28.617					
12-06-22	17:40:00	28.518					
12-06-22	17:50:00	28.345					
12-06-22	18:00:00	28.295					
12-06-22	18:10:00	28.147					
12-06-22	18:20:00	28.072					
12-06-22	18:30:00	27.974					
12-06-22	18:40:00	27.850					
12-06-22	18:50:00	27.751					
12-06-22	19:00:00	27.653					
12-06-22	19:10:00	27.579					
12-06-22	19:20:00	27.456					
12-06-22	19:30:00	27.333					
12-06-22	19:40:00	27.259					
