Date	Time	Temp (°C) c:1	Coupler Detached	Coupler Attached	Host Connected	Stopped	End Of File
10-06-22	13:30:00	30.849	Logged				
10-06-22	13:40:00	31.714					
10-06-22	13:50:00	31.255					
10-06-22	14:00:00	31.052					
10-06-22	14:10:00	30.900					
10-06-22	14:20:00	31.868					
10-06-22	14:30:00	33.626					
10-06-22	14:40:00	34.730					
10-06-22	14:50:00	35.262					
10-06-22	15:00:00	32.898					
10-06-22	15:10:00	25.525					
10-06-22	15:20:00	24.702					
10-06-22	15:30:00	24.605					
10-06-22	15:40:00	24.581					
10-06-22	15:50:00	24.557					
10-06-22	16:00:00	24.508					
10-06-22	16:10:00	24.460					
10-06-22	16:20:00	24.412					
10-06-22	16:30:00	24.363					
10-06-22	16:40:00	24.315					
10-06-22	16:50:00	24.291					
10-06-22	17:00:00	24.267					
10-06-22	17:10:00	24.243					
10-06-22	17:20:00	24.195					
10-06-22	17:30:00	24.171					
10-06-22	17:40:00	24.146					
10-06-22	17:50:00	24.098					
10-06-22	18:00:00	24.050					
10-06-22	18:10:00	24.026					
10-06-22	18:20:00	24.002					
10-06-22	18:30:00	23.978					
10-06-22	18:40:00	23.930					
10-06-22	18:50:00	23.881					
10-06-22	19:00:00	23.857					
10-06-22	19:10:00	23.809					
10-06-22	19:20:00	23.785					
10-06-22	19:30:00	23.737					
10-06-22	19:40:00	23.689					
10-06-22	19:50:00	23.641					
10-06-22	20:00:00	23.593					
10-06-22	20:10:00	23.569					
10-06-22	20:20:00	23.545					
10-06-22	20:30:00	23.497					
10-06-22	20:40:00	23.448					
10-06-22	20:50:00	23.424					
10-06-22	21:00:00	23.400					
10-06-22	21:10:00	23.352					
10-06-22	21:20:00	23.328					
10-06-22	21:30:00	23.328					
10-06-22	21:40:00	23.328					
10-06-22	21:50:00	23.304					
10-06-22	22:00:00	23.280					
10-06-22	22:10:00	23.280					
10-06-22	22:20:00	23.280					
10-06-22	22:30:00	23.256					
10-06-22	22:40:00	23.232					
10-06-22	22:50:00	23.232					
10-06-22	23:00:00	23.232					
10-06-22	23:10:00	23.208					
10-06-22	23:20:00	23.208					
10-06-22	23:30:00	23.208					
10-06-22	23:40:00	23.208					
10-06-22	23:50:00	23.184					
11-06-22	00:00:00	23.184					
11-06-22	00:10:00	23.184					
11-06-22	00:20:00	23.184					
11-06-22	00:30:00	23.184					
11-06-22	00:40:00	23.160					
11-06-22	00:50:00	23.160					
11-06-22	01:00:00	23.160					
11-06-22	01:10:00	23.160					
11-06-22	01:20:00	23.136					
11-06-22	01:30:00	23.136					
11-06-22	01:40:00	23.136					
11-06-22	01:50:00	23.112					
11-06-22	02:00:00	23.112					
11-06-22	02:10:00	23.112					
11-06-22	02:20:00	23.112					
11-06-22	02:30:00	23.088					
11-06-22	02:40:00	23.088					
11-06-22	02:50:00	23.088					
11-06-22	03:00:00	23.088					
11-06-22	03:10:00	23.064					
11-06-22	03:20:00	23.064					
11-06-22	03:30:00	23.064					
11-06-22	03:40:00	23.064					
11-06-22	03:50:00	23.040					
11-06-22	04:00:00	23.040					
11-06-22	04:10:00	23.040					
11-06-22	04:20:00	23.040					
11-06-22	04:30:00	23.016					
11-06-22	04:40:00	23.016					
11-06-22	04:50:00	22.992					
11-06-22	05:00:00	22.968					
11-06-22	05:10:00	22.944					
11-06-22	05:20:00	22.920					
11-06-22	05:30:00	22.896					
11-06-22	05:40:00	22.872					
11-06-22	05:50:00	22.824					
11-06-22	06:00:00	22.824					
11-06-22	06:10:00	22.776					
11-06-22	06:20:00	22.705					
11-06-22	06:30:00	22.681					
11-06-22	06:40:00	22.681					
11-06-22	06:50:00	22.705					
11-06-22	07:00:00	22.705					
11-06-22	07:10:00	22.681					
11-06-22	07:20:00	22.705					
11-06-22	07:30:00	22.729					
11-06-22	07:40:00	22.729					
11-06-22	07:50:00	22.729					
11-06-22	08:00:00	22.776					
11-06-22	08:10:00	22.776					
11-06-22	08:20:00	22.824					
11-06-22	08:30:00	22.872					
11-06-22	08:40:00	22.920					
11-06-22	08:50:00	23.016					
11-06-22	09:00:00	23.112					
11-06-22	09:10:00	23.184					
11-06-22	09:20:00	23.280					
11-06-22	09:30:00	23.424					
