Date	Time	Temp (°C) c:1	Coupler Detached	Coupler Attached	Host Connected	Stopped	End Of File
10-06-22	13:30:00	30.874	Logged				
10-06-22	13:40:00	31.842					
10-06-22	13:50:00	31.382					
10-06-22	14:00:00	31.179					
10-06-22	14:10:00	30.925					
10-06-22	14:20:00	31.637					
10-06-22	14:30:00	32.665					
10-06-22	14:40:00	34.019					
10-06-22	14:50:00	33.704					
10-06-22	15:00:00	32.794					
10-06-22	15:10:00	32.355					
10-06-22	15:20:00	31.765					
10-06-22	15:30:00	29.690					
10-06-22	15:40:00	29.690					
10-06-22	15:50:00	29.665					
10-06-22	16:00:00	29.765					
10-06-22	16:10:00	29.490					
10-06-22	16:20:00	29.290					
10-06-22	16:30:00	29.290					
10-06-22	16:40:00	29.140					
10-06-22	16:50:00	29.040					
10-06-22	17:00:00	29.464					
10-06-22	17:10:00	29.540					
10-06-22	17:20:00	29.690					
10-06-22	17:30:00	29.464					
10-06-22	17:40:00	29.265					
10-06-22	17:50:00	29.414					
10-06-22	18:00:00	29.590					
10-06-22	18:10:00	29.640					
10-06-22	18:20:00	29.615					
10-06-22	18:30:00	29.190					
10-06-22	18:40:00	28.990					
10-06-22	18:50:00	29.140					
10-06-22	19:00:00	29.165					
10-06-22	19:10:00	28.766					
10-06-22	19:20:00	28.295					
10-06-22	19:30:00	28.147					
10-06-22	19:40:00	27.998					
10-06-22	19:50:00	27.825					
10-06-22	20:00:00	27.924					
10-06-22	20:10:00	27.850					
10-06-22	20:20:00	27.702					
10-06-22	20:30:00	27.776					
10-06-22	20:40:00	27.677					
10-06-22	20:50:00	27.801					
10-06-22	21:00:00	27.727					
10-06-22	21:10:00	27.727					
10-06-22	21:20:00	27.481					
10-06-22	21:30:00	27.481					
10-06-22	21:40:00	27.382					
10-06-22	21:50:00	27.284					
10-06-22	22:00:00	27.210					
10-06-22	22:10:00	27.063					
10-06-22	22:20:00	26.989					
10-06-22	22:30:00	26.818					
10-06-22	22:40:00	26.646					
10-06-22	22:50:00	26.549					
10-06-22	23:00:00	26.500					
10-06-22	23:10:00	26.524					
10-06-22	23:20:00	26.549					
10-06-22	23:30:00	26.524					
10-06-22	23:40:00	26.280					
10-06-22	23:50:00	26.207					
11-06-22	00:00:00	26.061					
11-06-22	00:10:00	25.987					
11-06-22	00:20:00	25.939					
11-06-22	00:30:00	25.939					
11-06-22	00:40:00	25.866					
11-06-22	00:50:00	25.890					
11-06-22	01:00:00	25.866					
11-06-22	01:10:00	25.793					
11-06-22	01:20:00	25.623					
11-06-22	01:30:00	25.477					
11-06-22	01:40:00	25.550					
11-06-22	01:50:00	25.574					
11-06-22	02:00:00	25.525					
11-06-22	02:10:00	25.355					
11-06-22	02:20:00	25.258					
11-06-22	02:30:00	25.210					
11-06-22	02:40:00	25.234					
11-06-22	02:50:00	25.210					
11-06-22	03:00:00	25.137					
11-06-22	03:10:00	25.137					
11-06-22	03:20:00	25.089					
11-06-22	03:30:00	25.040					
11-06-22	03:40:00	24.919					
11-06-22	03:50:00	24.798					
11-06-22	04:00:00	24.726					
11-06-22	04:10:00	24.653					
11-06-22	04:20:00	24.653					
11-06-22	04:30:00	24.581					
11-06-22	04:40:00	24.508					
11-06-22	04:50:00	24.436					
11-06-22	05:00:00	24.363					
11-06-22	05:10:00	24.339					
11-06-22	05:20:00	24.339					
11-06-22	05:30:00	24.291					
11-06-22	05:40:00	24.267					
11-06-22	05:50:00	24.219					
11-06-22	06:00:00	24.219					
11-06-22	06:10:00	24.195					
11-06-22	06:20:00	24.243					
11-06-22	06:30:00	24.219					
11-06-22	06:40:00	24.146					
11-06-22	06:50:00	24.146					
11-06-22	07:00:00	24.219					
11-06-22	07:10:00	24.291					
11-06-22	07:20:00	24.291					
11-06-22	07:30:00	24.363					
11-06-22	07:40:00	24.412					
11-06-22	07:50:00	24.388					
11-06-22	08:00:00	24.412					
11-06-22	08:10:00	24.388					
11-06-22	08:20:00	24.388					
11-06-22	08:30:00	24.412					
11-06-22	08:40:00	24.436					
11-06-22	08:50:00	24.508					
11-06-22	09:00:00	24.605					
11-06-22	09:10:00	24.653					
11-06-22	09:20:00	24.702					
11-06-22	09:30:00	24.774					
11-06-22	09:40:00	24.847					
11-06-22	09:50:00	24.895					
11-06-22	10:00:00	24.895					
11-06-22	10:10:00	24.919					
11-06-22	10:20:00	24.895					
11-06-22	10:30:00	24.895					
11-06-22	10:40:00	24.895					
11-06-22	10:50:00	24.919					
11-06-22	11:00:00	24.919					
11-06-22	11:10:00	25.210					
11-06-22	11:20:00	25.501					
11-06-22	11:30:00	25.647					
11-06-22	11:40:00	26.036					
11-06-22	11:50:00	26.109					
11-06-22	12:00:00	26.158					
11-06-22	12:10:00	26.304					
11-06-22	12:20:00	26.451					
11-06-22	12:30:00	26.695					
11-06-22	12:40:00	27.038					
11-06-22	12:50:00	27.210					
11-06-22	13:00:00	27.210					
11-06-22	13:10:00	27.186					
11-06-22	13:20:00	27.308					
11-06-22	13:30:00	27.308					
11-06-22	13:40:00	27.653					
11-06-22	13:50:00	27.974					
