"Plot Title: 20970122"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970122, SEN S/N: 20970122)","Coupler Detached (LGR S/N: 20970122)","Coupler Attached (LGR S/N: 20970122)","Host Connected (LGR S/N: 20970122)","Stopped (LGR S/N: 20970122)","End Of File (LGR S/N: 20970122)"
1,03/02/22 11:00:00 PM,22.250,Logged,,,,
2,03/02/22 11:10:00 PM,22.250,,,,,
3,03/02/22 11:20:00 PM,22.250,,,,,
4,03/02/22 11:30:00 PM,22.250,,,,,
5,03/02/22 11:40:00 PM,22.274,,,,,
6,03/02/22 11:50:00 PM,22.250,,,,,
7,03/03/22 12:00:00 AM,22.202,,,,,
8,03/03/22 12:10:00 AM,22.154,,,,,
9,03/03/22 12:20:00 AM,22.106,,,,,
10,03/03/22 12:30:00 AM,22.082,,,,,
11,03/03/22 12:40:00 AM,22.082,,,,,
12,03/03/22 12:50:00 AM,22.058,,,,,
13,03/03/22 01:00:00 AM,22.058,,,,,
14,03/03/22 01:10:00 AM,22.058,,,,,
15,03/03/22 01:20:00 AM,22.082,,,,,
16,03/03/22 01:30:00 AM,22.082,,,,,
17,03/03/22 01:40:00 AM,22.082,,,,,
18,03/03/22 01:50:00 AM,22.106,,,,,
19,03/03/22 02:00:00 AM,22.106,,,,,
20,03/03/22 02:10:00 AM,22.106,,,,,
21,03/03/22 02:20:00 AM,22.058,,,,,
22,03/03/22 02:30:00 AM,21.987,,,,,
23,03/03/22 02:40:00 AM,21.963,,,,,
24,03/03/22 02:50:00 AM,21.939,,,,,
25,03/03/22 03:00:00 AM,21.915,,,,,
26,03/03/22 03:10:00 AM,21.891,,,,,
27,03/03/22 03:20:00 AM,21.891,,,,,
28,03/03/22 03:30:00 AM,21.891,,,,,
29,03/03/22 03:40:00 AM,21.891,,,,,
30,03/03/22 03:50:00 AM,21.891,,,,,
31,03/03/22 04:00:00 AM,21.891,,,,,
32,03/03/22 04:10:00 AM,21.891,,,,,
33,03/03/22 04:20:00 AM,21.915,,,,,
34,03/03/22 04:30:00 AM,21.915,,,,,
35,03/03/22 04:40:00 AM,21.915,,,,,
36,03/03/22 04:50:00 AM,21.915,,,,,
37,03/03/22 05:00:00 AM,21.891,,,,,
38,03/03/22 05:10:00 AM,21.843,,,,,
39,03/03/22 05:20:00 AM,21.795,,,,,
40,03/03/22 05:30:00 AM,21.748,,,,,
41,03/03/22 05:40:00 AM,21.724,,,,,
42,03/03/22 05:50:00 AM,21.724,,,,,
43,03/03/22 06:00:00 AM,21.700,,,,,
44,03/03/22 06:10:00 AM,21.700,,,,,
45,03/03/22 06:20:00 AM,21.700,,,,,
46,03/03/22 06:30:00 AM,21.724,,,,,
47,03/03/22 06:40:00 AM,21.724,,,,,
48,03/03/22 06:50:00 AM,21.676,,,,,
49,03/03/22 07:00:00 AM,21.628,,,,,
50,03/03/22 07:10:00 AM,21.604,,,,,
51,03/03/22 07:20:00 AM,21.581,,,,,
52,03/03/22 07:30:00 AM,21.557,,,,,
53,03/03/22 07:40:00 AM,21.557,,,,,
54,03/03/22 07:50:00 AM,21.557,,,,,
55,03/03/22 08:00:00 AM,21.557,,,,,
56,03/03/22 08:10:00 AM,21.557,,,,,
57,03/03/22 08:20:00 AM,21.581,,,,,
58,03/03/22 08:30:00 AM,21.724,,,,,
59,03/03/22 08:40:00 AM,21.963,,,,,
60,03/03/22 08:50:00 AM,22.274,,,,,
61,03/03/22 09:00:00 AM,23.352,,,,,
62,03/03/22 09:10:00 AM,27.677,,,,,
63,03/03/22 09:20:00 AM,30.066,,,,,
64,03/03/22 09:30:00 AM,29.190,,,,,
65,03/03/22 09:40:00 AM,28.369,,,,,
66,03/03/22 09:50:00 AM,27.751,,,,,
67,03/03/22 10:00:00 AM,27.308,,,,,
68,03/03/22 10:10:00 AM,27.505,,,,,
69,03/03/22 10:20:00 AM,28.320,,,,,
70,03/03/22 10:30:00 AM,30.495,,,,,
71,03/03/22 10:40:00 AM,24.605,,,,,
72,03/03/22 10:50:00 AM,24.098,,,,,
73,03/03/22 11:00:00 AM,24.219,,,,,
74,03/03/22 11:10:00 AM,24.484,,,,,
75,03/03/22 11:20:00 AM,24.605,,,,,
76,03/03/22 11:30:00 AM,24.702,,,,,
77,03/03/22 11:40:00 AM,24.919,,,,,
78,03/03/22 11:50:00 AM,24.871,,,,,
79,03/03/22 12:00:00 PM,24.919,,,,,
80,03/03/22 12:10:00 PM,24.823,,,,,
81,03/03/22 12:20:00 PM,24.726,,,,,
82,03/03/22 12:30:00 PM,24.629,,,,,
83,03/03/22 12:40:00 PM,24.557,,,,,
84,03/03/22 12:50:00 PM,24.508,,,,,
85,03/03/22 01:00:00 PM,24.460,,,,,
86,03/03/22 01:10:00 PM,24.460,,,,,
87,03/03/22 01:20:00 PM,24.436,,,,,
88,03/03/22 01:30:00 PM,24.412,,,,,
89,03/03/22 01:40:00 PM,24.412,,,,,
90,03/03/22 01:50:00 PM,24.363,,,,,
91,03/03/22 02:00:00 PM,24.315,,,,,
92,03/03/22 02:10:00 PM,24.291,,,,,
93,03/03/22 02:20:00 PM,24.243,,,,,
94,03/03/22 02:30:00 PM,24.195,,,,,
95,03/03/22 02:40:00 PM,24.171,,,,,
96,03/03/22 02:50:00 PM,24.171,,,,,
97,03/03/22 03:00:00 PM,24.195,,,,,
98,03/03/22 03:10:00 PM,24.219,,,,,
99,03/03/22 03:20:00 PM,24.171,,,,,
100,03/03/22 03:30:00 PM,24.098,,,,,
101,03/03/22 03:40:00 PM,24.050,,,,,
102,03/03/22 03:50:00 PM,24.002,,,,,
103,03/03/22 04:00:00 PM,23.930,,,,,
104,03/03/22 04:10:00 PM,23.905,,,,,
105,03/03/22 04:20:00 PM,23.857,,,,,
106,03/03/22 04:30:00 PM,23.857,,,,,
107,03/03/22 04:40:00 PM,23.833,,,,,
108,03/03/22 04:50:00 PM,23.833,,,,,
109,03/03/22 05:00:00 PM,23.809,,,,,
110,03/03/22 05:10:00 PM,23.785,,,,,
111,03/03/22 05:20:00 PM,23.785,,,,,
112,03/03/22 05:30:00 PM,23.761,,,,,
113,03/03/22 05:40:00 PM,23.761,,,,,
114,03/03/22 05:50:00 PM,23.737,,,,,
115,03/03/22 06:00:00 PM,23.713,,,,,
116,03/03/22 06:10:00 PM,23.665,,,,,
117,03/03/22 06:20:00 PM,23.617,,,,,
118,03/03/22 06:30:00 PM,23.593,,,,,
119,03/03/22 06:40:00 PM,23.569,,,,,
120,03/03/22 06:50:00 PM,23.545,,,,,
121,03/03/22 07:00:00 PM,23.472,,,,,
122,03/03/22 07:10:00 PM,23.424,,,,,
123,03/03/22 07:20:00 PM,23.376,,,,,
124,03/03/22 07:30:00 PM,23.352,,,,,
125,03/03/22 07:40:00 PM,23.304,,,,,
126,03/03/22 07:50:00 PM,23.256,,,,,
127,03/03/22 08:00:00 PM,23.208,,,,,
128,03/03/22 08:10:00 PM,23.184,,,,,
129,03/03/22 08:20:00 PM,23.136,,,,,
130,03/03/22 08:30:00 PM,23.088,,,,,
131,03/03/22 08:40:00 PM,23.040,,,,,
132,03/03/22 08:50:00 PM,22.992,,,,,
133,03/03/22 09:00:00 PM,22.944,,,,,
134,03/03/22 09:10:00 PM,22.896,,,,,
135,03/03/22 09:20:00 PM,22.848,,,,,
136,03/03/22 09:30:00 PM,22.800,,,,,
137,03/03/22 09:40:00 PM,22.753,,,,,
138,03/03/22 09:50:00 PM,22.705,,,,,
139,03/03/22 10:00:00 PM,22.657,,,,,
140,03/03/22 10:10:00 PM,22.609,,,,,
141,03/03/22 10:20:00 PM,22.561,,,,,
142,03/03/22 10:30:00 PM,22.489,,,,,
143,03/03/22 10:40:00 PM,22.441,,,,,
144,03/03/22 10:50:00 PM,22.369,,,,,
145,03/03/22 11:00:00 PM,22.274,,,,,
146,03/03/22 11:10:00 PM,22.226,,,,,
147,03/03/22 11:20:00 PM,22.154,,,,,
148,03/03/22 11:30:00 PM,22.106,,,,,
149,03/03/22 11:40:00 PM,22.034,,,,,
150,03/03/22 11:50:00 PM,21.987,,,,,
151,03/04/22 12:00:00 AM,21.939,,,,,
152,03/04/22 12:10:00 AM,21.915,,,,,
153,03/04/22 12:20:00 AM,21.867,,,,,
154,03/04/22 12:30:00 AM,21.843,,,,,
155,03/04/22 12:40:00 AM,21.795,,,,,
156,03/04/22 12:50:00 AM,21.748,,,,,
157,03/04/22 01:00:00 AM,21.724,,,,,
158,03/04/22 01:10:00 AM,21.676,,,,,
159,03/04/22 01:20:00 AM,21.652,,,,,
160,03/04/22 01:30:00 AM,21.628,,,,,
161,03/04/22 01:40:00 AM,21.581,,,,,
162,03/04/22 01:50:00 AM,21.557,,,,,
163,03/04/22 02:00:00 AM,21.557,,,,,
164,03/04/22 02:10:00 AM,21.557,,,,,
165,03/04/22 02:20:00 AM,21.557,,,,,
166,03/04/22 02:30:00 AM,21.557,,,,,
167,03/04/22 02:40:00 AM,21.533,,,,,
168,03/04/22 02:50:00 AM,21.557,,,,,
169,03/04/22 03:00:00 AM,21.604,,,,,
170,03/04/22 03:10:00 AM,21.676,,,,,
171,03/04/22 03:20:00 AM,21.748,,,,,
172,03/04/22 03:30:00 AM,21.772,,,,,
173,03/04/22 03:40:00 AM,21.795,,,,,
174,03/04/22 03:50:00 AM,21.819,,,,,
175,03/04/22 04:00:00 AM,21.843,,,,,
176,03/04/22 04:10:00 AM,21.891,,,,,
177,03/04/22 04:20:00 AM,21.891,,,,,
178,03/04/22 04:30:00 AM,21.915,,,,,
179,03/04/22 04:40:00 AM,21.915,,,,,
180,03/04/22 04:50:00 AM,21.891,,,,,
181,03/04/22 05:00:00 AM,21.891,,,,,
182,03/04/22 05:10:00 AM,21.891,,,,,
183,03/04/22 05:20:00 AM,21.867,,,,,
184,03/04/22 05:30:00 AM,21.843,,,,,
185,03/04/22 05:40:00 AM,21.843,,,,,
186,03/04/22 05:50:00 AM,21.819,,,,,
187,03/04/22 06:00:00 AM,21.795,,,,,
188,03/04/22 06:10:00 AM,21.772,,,,,
189,03/04/22 06:20:00 AM,21.795,,,,,
190,03/04/22 06:30:00 AM,21.772,,,,,
191,03/04/22 06:40:00 AM,21.748,,,,,
192,03/04/22 06:50:00 AM,21.748,,,,,
193,03/04/22 07:00:00 AM,21.724,,,,,
194,03/04/22 07:10:00 AM,21.700,,,,,
195,03/04/22 07:20:00 AM,21.676,,,,,
196,03/04/22 07:30:00 AM,21.676,,,,,
197,03/04/22 07:40:00 AM,21.676,,,,,
198,03/04/22 07:50:00 AM,21.676,,,,,
199,03/04/22 08:00:00 AM,21.676,,,,,
200,03/04/22 08:10:00 AM,21.700,,,,,
201,03/04/22 08:20:00 AM,21.724,,,,,
202,03/04/22 08:30:00 AM,21.748,,,,,
203,03/04/22 08:40:00 AM,21.772,,,,,
204,03/04/22 08:50:00 AM,21.795,,,,,
205,03/04/22 09:00:00 AM,21.843,,,,,
206,03/04/22 09:10:00 AM,21.867,,,,,
207,03/04/22 09:20:00 AM,21.939,,,,,
208,03/04/22 09:30:00 AM,21.963,,,,,
209,03/04/22 09:40:00 AM,22.034,,,,,
210,03/04/22 09:50:00 AM,22.082,,,,,
211,03/04/22 10:00:00 AM,22.130,,,,,
212,03/04/22 10:10:00 AM,22.178,,,,,
213,03/04/22 10:20:00 AM,22.202,,,,,
214,03/04/22 10:30:00 AM,22.250,,,,,
215,03/04/22 10:40:00 AM,22.298,,,,,
216,03/04/22 10:50:00 AM,22.609,,,,,
217,03/04/22 11:00:00 AM,22.848,,,,,
218,03/04/22 11:10:00 AM,22.920,,,,,
219,03/04/22 11:20:00 AM,22.992,,,,,
220,03/04/22 11:30:00 AM,23.016,,,,,
221,03/04/22 11:40:00 AM,23.040,,,,,
222,03/04/22 11:50:00 AM,23.064,,,,,
223,03/04/22 12:00:00 PM,23.088,,,,,
224,03/04/22 12:10:00 PM,23.256,,,,,
225,03/04/22 12:20:00 PM,23.593,,,,,
226,03/04/22 12:30:00 PM,23.978,,,,,
227,03/04/22 12:40:00 PM,24.339,,,,,
228,03/04/22 12:50:00 PM,24.605,,,,,
229,03/04/22 01:00:00 PM,25.113,,,,,
230,03/04/22 01:10:00 PM,25.331,,,,,
231,03/04/22 01:20:00 PM,25.307,,,,,
232,03/04/22 01:30:00 PM,25.258,,,,,
233,03/04/22 01:40:00 PM,24.944,,,,,
234,03/04/22 01:50:00 PM,24.823,,,,,
235,03/04/22 02:00:00 PM,24.895,,,,,
236,03/04/22 02:10:00 PM,24.919,,,,,
237,03/04/22 02:20:00 PM,25.040,,,,,
238,03/04/22 02:30:00 PM,25.113,,,,,
239,03/04/22 02:40:00 PM,25.137,,,,,
240,03/04/22 02:50:00 PM,25.113,,,,,
241,03/04/22 03:00:00 PM,25.065,,,,,
242,03/04/22 03:10:00 PM,24.944,,,,,
243,03/04/22 03:20:00 PM,24.823,,,,,
244,03/04/22 03:30:00 PM,24.726,,,,,
245,03/04/22 03:40:00 PM,24.629,,,,,
246,03/04/22 03:50:00 PM,24.581,,,,,
247,03/04/22 04:00:00 PM,24.557,,,,,
248,03/04/22 04:10:00 PM,24.484,,,,,
249,03/04/22 04:20:00 PM,24.388,,,,,
250,03/04/22 04:30:00 PM,24.267,,,,,
251,03/04/22 04:40:00 PM,24.122,,,,,
252,03/04/22 04:50:00 PM,23.978,,,,,
253,03/04/22 05:00:00 PM,23.857,,,,,
254,03/04/22 05:10:00 PM,23.761,,,,,
255,03/04/22 05:20:00 PM,23.689,,,,,
256,03/04/22 05:30:00 PM,23.593,,,,,
257,03/04/22 05:40:00 PM,23.521,,,,,
258,03/04/22 05:50:00 PM,23.448,,,,,
259,03/04/22 06:00:00 PM,23.376,,,,,
260,03/04/22 06:10:00 PM,23.304,,,,,
261,03/04/22 06:20:00 PM,23.232,,,,,
262,03/04/22 06:30:00 PM,23.160,,,,,
263,03/04/22 06:40:00 PM,23.112,,,,,
264,03/04/22 06:50:00 PM,23.064,,,,,
265,03/04/22 07:00:00 PM,23.016,,,,,
266,03/04/22 07:10:00 PM,22.992,,,,,
267,03/04/22 07:20:00 PM,22.944,,,,,
