"Plot Title: 20970110"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970110, SEN S/N: 20970110)","Coupler Detached (LGR S/N: 20970110)","Coupler Attached (LGR S/N: 20970110)","Host Connected (LGR S/N: 20970110)","Stopped (LGR S/N: 20970110)","End Of File (LGR S/N: 20970110)"
1,03/02/22 11:00:00 PM,22.058,Logged,,,,
2,03/02/22 11:10:00 PM,22.082,,,,,
3,03/02/22 11:20:00 PM,22.106,,,,,
4,03/02/22 11:30:00 PM,22.106,,,,,
5,03/02/22 11:40:00 PM,22.130,,,,,
6,03/02/22 11:50:00 PM,22.082,,,,,
7,03/03/22 12:00:00 AM,22.011,,,,,
8,03/03/22 12:10:00 AM,21.963,,,,,
9,03/03/22 12:20:00 AM,21.915,,,,,
10,03/03/22 12:30:00 AM,21.915,,,,,
11,03/03/22 12:40:00 AM,21.915,,,,,
12,03/03/22 12:50:00 AM,21.915,,,,,
13,03/03/22 01:00:00 AM,21.915,,,,,
14,03/03/22 01:10:00 AM,21.915,,,,,
15,03/03/22 01:20:00 AM,21.939,,,,,
16,03/03/22 01:30:00 AM,21.963,,,,,
17,03/03/22 01:40:00 AM,21.963,,,,,
18,03/03/22 01:50:00 AM,21.987,,,,,
19,03/03/22 02:00:00 AM,21.987,,,,,
20,03/03/22 02:10:00 AM,21.939,,,,,
21,03/03/22 02:20:00 AM,21.867,,,,,
22,03/03/22 02:30:00 AM,21.819,,,,,
23,03/03/22 02:40:00 AM,21.772,,,,,
24,03/03/22 02:50:00 AM,21.748,,,,,
25,03/03/22 03:00:00 AM,21.748,,,,,
26,03/03/22 03:10:00 AM,21.748,,,,,
27,03/03/22 03:20:00 AM,21.748,,,,,
28,03/03/22 03:30:00 AM,21.748,,,,,
29,03/03/22 03:40:00 AM,21.772,,,,,
30,03/03/22 03:50:00 AM,21.772,,,,,
31,03/03/22 04:00:00 AM,21.772,,,,,
32,03/03/22 04:10:00 AM,21.772,,,,,
33,03/03/22 04:20:00 AM,21.795,,,,,
34,03/03/22 04:30:00 AM,21.795,,,,,
35,03/03/22 04:40:00 AM,21.819,,,,,
36,03/03/22 04:50:00 AM,21.819,,,,,
37,03/03/22 05:00:00 AM,21.772,,,,,
38,03/03/22 05:10:00 AM,21.700,,,,,
39,03/03/22 05:20:00 AM,21.652,,,,,
40,03/03/22 05:30:00 AM,21.604,,,,,
41,03/03/22 05:40:00 AM,21.581,,,,,
42,03/03/22 05:50:00 AM,21.581,,,,,
43,03/03/22 06:00:00 AM,21.581,,,,,
