"Plot Title: 20970094"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970094, SEN S/N: 20970094)","Coupler Detached (LGR S/N: 20970094)","Coupler Attached (LGR S/N: 20970094)","Host Connected (LGR S/N: 20970094)","Stopped (LGR S/N: 20970094)","End Of File (LGR S/N: 20970094)"
1,03/02/22 11:00:00 PM,22.393,Logged,,,,
2,03/02/22 11:10:00 PM,22.393,,,,,
3,03/02/22 11:20:00 PM,22.393,,,,,
4,03/02/22 11:30:00 PM,22.393,,,,,
5,03/02/22 11:40:00 PM,22.417,,,,,
6,03/02/22 11:50:00 PM,22.345,,,,,
7,03/03/22 12:00:00 AM,22.274,,,,,
8,03/03/22 12:10:00 AM,22.226,,,,,
9,03/03/22 12:20:00 AM,22.202,,,,,
10,03/03/22 12:30:00 AM,22.202,,,,,
11,03/03/22 12:40:00 AM,22.202,,,,,
12,03/03/22 12:50:00 AM,22.202,,,,,
13,03/03/22 01:00:00 AM,22.202,,,,,
14,03/03/22 01:10:00 AM,22.202,,,,,
15,03/03/22 01:20:00 AM,22.202,,,,,
16,03/03/22 01:30:00 AM,22.226,,,,,
17,03/03/22 01:40:00 AM,22.226,,,,,
18,03/03/22 01:50:00 AM,22.250,,,,,
19,03/03/22 02:00:00 AM,22.250,,,,,
20,03/03/22 02:10:00 AM,22.202,,,,,
21,03/03/22 02:20:00 AM,22.106,,,,,
22,03/03/22 02:30:00 AM,22.058,,,,,
23,03/03/22 02:40:00 AM,22.034,,,,,
24,03/03/22 02:50:00 AM,22.034,,,,,
25,03/03/22 03:00:00 AM,22.011,,,,,
26,03/03/22 03:10:00 AM,22.011,,,,,
27,03/03/22 03:20:00 AM,22.011,,,,,
28,03/03/22 03:30:00 AM,22.011,,,,,
29,03/03/22 03:40:00 AM,22.011,,,,,
30,03/03/22 03:50:00 AM,22.011,,,,,
31,03/03/22 04:00:00 AM,22.011,,,,,
32,03/03/22 04:10:00 AM,22.034,,,,,
33,03/03/22 04:20:00 AM,22.034,,,,,
34,03/03/22 04:30:00 AM,22.034,,,,,
35,03/03/22 04:40:00 AM,22.034,,,,,
36,03/03/22 04:50:00 AM,22.034,,,,,
37,03/03/22 05:00:00 AM,21.987,,,,,
38,03/03/22 05:10:00 AM,21.891,,,,,
39,03/03/22 05:20:00 AM,21.843,,,,,
40,03/03/22 05:30:00 AM,21.819,,,,,
41,03/03/22 05:40:00 AM,21.819,,,,,
42,03/03/22 05:50:00 AM,21.819,,,,,
43,03/03/22 06:00:00 AM,21.819,,,,,
44,03/03/22 06:10:00 AM,21.819,,,,,
45,03/03/22 06:20:00 AM,21.843,,,,,
46,03/03/22 06:30:00 AM,21.843,,,,,
47,03/03/22 06:40:00 AM,21.819,,,,,
48,03/03/22 06:50:00 AM,21.772,,,,,
49,03/03/22 07:00:00 AM,21.724,,,,,
