"Plot Title: 20970092"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970092, SEN S/N: 20970092)","Coupler Detached (LGR S/N: 20970092)","Coupler Attached (LGR S/N: 20970092)","Host Connected (LGR S/N: 20970092)","Stopped (LGR S/N: 20970092)","End Of File (LGR S/N: 20970092)"
1,03/02/22 11:00:00 PM,22.226,Logged,,,,
2,03/02/22 11:10:00 PM,22.226,,,,,
3,03/02/22 11:20:00 PM,22.226,,,,,
4,03/02/22 11:30:00 PM,22.226,,,,,
5,03/02/22 11:40:00 PM,22.250,,,,,
6,03/02/22 11:50:00 PM,22.202,,,,,
7,03/03/22 12:00:00 AM,22.130,,,,,
8,03/03/22 12:10:00 AM,22.082,,,,,
9,03/03/22 12:20:00 AM,22.058,,,,,
10,03/03/22 12:30:00 AM,22.058,,,,,
11,03/03/22 12:40:00 AM,22.058,,,,,
12,03/03/22 12:50:00 AM,22.034,,,,,
13,03/03/22 01:00:00 AM,22.058,,,,,
14,03/03/22 01:10:00 AM,22.058,,,,,
15,03/03/22 01:20:00 AM,22.058,,,,,
16,03/03/22 01:30:00 AM,22.058,,,,,
17,03/03/22 01:40:00 AM,22.058,,,,,
18,03/03/22 01:50:00 AM,22.058,,,,,
19,03/03/22 02:00:00 AM,22.058,,,,,
20,03/03/22 02:10:00 AM,22.034,,,,,
21,03/03/22 02:20:00 AM,21.963,,,,,
22,03/03/22 02:30:00 AM,21.915,,,,,
23,03/03/22 02:40:00 AM,21.867,,,,,
24,03/03/22 02:50:00 AM,21.867,,,,,
25,03/03/22 03:00:00 AM,21.867,,,,,
26,03/03/22 03:10:00 AM,21.843,,,,,
27,03/03/22 03:20:00 AM,21.843,,,,,
28,03/03/22 03:30:00 AM,21.843,,,,,
29,03/03/22 03:40:00 AM,21.843,,,,,
30,03/03/22 03:50:00 AM,21.843,,,,,
31,03/03/22 04:00:00 AM,21.843,,,,,
32,03/03/22 04:10:00 AM,21.867,,,,,
33,03/03/22 04:20:00 AM,21.867,,,,,
34,03/03/22 04:30:00 AM,21.867,,,,,
35,03/03/22 04:40:00 AM,21.867,,,,,
36,03/03/22 04:50:00 AM,21.867,,,,,
37,03/03/22 05:00:00 AM,21.843,,,,,
38,03/03/22 05:10:00 AM,21.772,,,,,
39,03/03/22 05:20:00 AM,21.724,,,,,
40,03/03/22 05:30:00 AM,21.676,,,,,
41,03/03/22 05:40:00 AM,21.676,,,,,
42,03/03/22 05:50:00 AM,21.676,,,,,
43,03/03/22 06:00:00 AM,21.676,,,,,
44,03/03/22 06:10:00 AM,21.676,,,,,
45,03/03/22 06:20:00 AM,21.676,,,,,
46,03/03/22 06:30:00 AM,21.700,,,,,
47,03/03/22 06:40:00 AM,21.652,,,,,
48,03/03/22 06:50:00 AM,21.581,,,,,
49,03/03/22 07:00:00 AM,21.533,,,,,
50,03/03/22 07:10:00 AM,21.509,,,,,
51,03/03/22 07:20:00 AM,21.509,,,,,
52,03/03/22 07:30:00 AM,21.509,,,,,
53,03/03/22 07:40:00 AM,21.509,,,,,
54,03/03/22 07:50:00 AM,21.509,,,,,
55,03/03/22 08:00:00 AM,21.533,,,,,
56,03/03/22 08:10:00 AM,21.533,,,,,
57,03/03/22 08:20:00 AM,21.557,,,,,
58,03/03/22 08:30:00 AM,21.604,,,,,
59,03/03/22 08:40:00 AM,21.772,,,,,
60,03/03/22 08:50:00 AM,21.987,,,,,
61,03/03/22 09:00:00 AM,22.585,,,,,
62,03/03/22 09:10:00 AM,25.477,,,,,
63,03/03/22 09:20:00 AM,26.646,,,,,
64,03/03/22 09:30:00 AM,26.818,,,,,
65,03/03/22 09:40:00 AM,26.793,,,,,
66,03/03/22 09:50:00 AM,26.720,,,,,
67,03/03/22 10:00:00 AM,26.671,,,,,
68,03/03/22 10:10:00 AM,26.940,,,,,
69,03/03/22 10:20:00 AM,26.989,,,,,
70,03/03/22 10:30:00 AM,30.722,,,,,
71,03/03/22 10:40:00 AM,33.521,,,,,
72,03/03/22 10:50:00 AM,24.195,,,,,
73,03/03/22 11:00:00 AM,23.593,,,,,
74,03/03/22 11:10:00 AM,23.497,,,,,
75,03/03/22 11:20:00 AM,23.472,,,,,
76,03/03/22 11:30:00 AM,23.472,,,,,
77,03/03/22 11:40:00 AM,23.448,,,,,
78,03/03/22 11:50:00 AM,23.424,,,,,
79,03/03/22 12:00:00 PM,23.400,,,,,
80,03/03/22 12:10:00 PM,23.400,,,,,
81,03/03/22 12:20:00 PM,23.400,,,,,
82,03/03/22 12:30:00 PM,23.376,,,,,
83,03/03/22 12:40:00 PM,23.400,,,,,
84,03/03/22 12:50:00 PM,23.448,,,,,
85,03/03/22 01:00:00 PM,23.448,,,,,
86,03/03/22 01:10:00 PM,23.448,,,,,
87,03/03/22 01:20:00 PM,23.497,,,,,
88,03/03/22 01:30:00 PM,23.497,,,,,
89,03/03/22 01:40:00 PM,23.569,,,,,
90,03/03/22 01:50:00 PM,23.545,,,,,
91,03/03/22 02:00:00 PM,23.569,,,,,
92,03/03/22 02:10:00 PM,23.569,,,,,
93,03/03/22 02:20:00 PM,23.593,,,,,
94,03/03/22 02:30:00 PM,23.617,,,,,
95,03/03/22 02:40:00 PM,23.641,,,,,
96,03/03/22 02:50:00 PM,23.665,,,,,
97,03/03/22 03:00:00 PM,23.665,,,,,
98,03/03/22 03:10:00 PM,23.665,,,,,
99,03/03/22 03:20:00 PM,23.689,,,,,
100,03/03/22 03:30:00 PM,23.713,,,,,
101,03/03/22 03:40:00 PM,23.713,,,,,
102,03/03/22 03:50:00 PM,23.737,,,,,
103,03/03/22 04:00:00 PM,23.737,,,,,
104,03/03/22 04:10:00 PM,23.713,,,,,
105,03/03/22 04:20:00 PM,23.737,,,,,
106,03/03/22 04:30:00 PM,23.737,,,,,
107,03/03/22 04:40:00 PM,23.761,,,,,
108,03/03/22 04:50:00 PM,23.809,,,,,
109,03/03/22 05:00:00 PM,23.833,,,,,
110,03/03/22 05:10:00 PM,23.809,,,,,
111,03/03/22 05:20:00 PM,23.833,,,,,
112,03/03/22 05:30:00 PM,23.833,,,,,
113,03/03/22 05:40:00 PM,23.809,,,,,
114,03/03/22 05:50:00 PM,23.833,,,,,
115,03/03/22 06:00:00 PM,23.857,,,,,
116,03/03/22 06:10:00 PM,23.905,,,,,
117,03/03/22 06:20:00 PM,23.881,,,,,
118,03/03/22 06:30:00 PM,23.857,,,,,
119,03/03/22 06:40:00 PM,23.881,,,,,
120,03/03/22 06:50:00 PM,23.905,,,,,
121,03/03/22 07:00:00 PM,23.881,,,,,
122,03/03/22 07:10:00 PM,23.881,,,,,
123,03/03/22 07:20:00 PM,23.833,,,,,
124,03/03/22 07:30:00 PM,23.809,,,,,
125,03/03/22 07:40:00 PM,23.761,,,,,
126,03/03/22 07:50:00 PM,23.737,,,,,
127,03/03/22 08:00:00 PM,23.713,,,,,
128,03/03/22 08:10:00 PM,23.665,,,,,
129,03/03/22 08:20:00 PM,23.641,,,,,
130,03/03/22 08:30:00 PM,23.593,,,,,
131,03/03/22 08:40:00 PM,23.545,,,,,
132,03/03/22 08:50:00 PM,23.497,,,,,
133,03/03/22 09:00:00 PM,23.448,,,,,
134,03/03/22 09:10:00 PM,23.424,,,,,
135,03/03/22 09:20:00 PM,23.376,,,,,
136,03/03/22 09:30:00 PM,23.328,,,,,
137,03/03/22 09:40:00 PM,23.280,,,,,
138,03/03/22 09:50:00 PM,23.256,,,,,
139,03/03/22 10:00:00 PM,23.208,,,,,
140,03/03/22 10:10:00 PM,23.160,,,,,
141,03/03/22 10:20:00 PM,23.136,,,,,
142,03/03/22 10:30:00 PM,23.088,,,,,
143,03/03/22 10:40:00 PM,23.064,,,,,
144,03/03/22 10:50:00 PM,23.040,,,,,
145,03/03/22 11:00:00 PM,22.992,,,,,
146,03/03/22 11:10:00 PM,22.968,,,,,
147,03/03/22 11:20:00 PM,22.920,,,,,
148,03/03/22 11:30:00 PM,22.896,,,,,
149,03/03/22 11:40:00 PM,22.872,,,,,
150,03/03/22 11:50:00 PM,22.848,,,,,
151,03/04/22 12:00:00 AM,22.824,,,,,
152,03/04/22 12:10:00 AM,22.776,,,,,
153,03/04/22 12:20:00 AM,22.776,,,,,
154,03/04/22 12:30:00 AM,22.753,,,,,
155,03/04/22 12:40:00 AM,22.729,,,,,
156,03/04/22 12:50:00 AM,22.705,,,,,
157,03/04/22 01:00:00 AM,22.681,,,,,
158,03/04/22 01:10:00 AM,22.657,,,,,
159,03/04/22 01:20:00 AM,22.633,,,,,
160,03/04/22 01:30:00 AM,22.633,,,,,
161,03/04/22 01:40:00 AM,22.633,,,,,
162,03/04/22 01:50:00 AM,22.609,,,,,
163,03/04/22 02:00:00 AM,22.609,,,,,
164,03/04/22 02:10:00 AM,22.585,,,,,
165,03/04/22 02:20:00 AM,22.585,,,,,
166,03/04/22 02:30:00 AM,22.561,,,,,
167,03/04/22 02:40:00 AM,22.561,,,,,
168,03/04/22 02:50:00 AM,22.561,,,,,
169,03/04/22 03:00:00 AM,22.537,,,,,
170,03/04/22 03:10:00 AM,22.537,,,,,
171,03/04/22 03:20:00 AM,22.537,,,,,
172,03/04/22 03:30:00 AM,22.537,,,,,
173,03/04/22 03:40:00 AM,22.537,,,,,
174,03/04/22 03:50:00 AM,22.537,,,,,
175,03/04/22 04:00:00 AM,22.537,,,,,
176,03/04/22 04:10:00 AM,22.513,,,,,
177,03/04/22 04:20:00 AM,22.513,,,,,
178,03/04/22 04:30:00 AM,22.489,,,,,
179,03/04/22 04:40:00 AM,22.489,,,,,
180,03/04/22 04:50:00 AM,22.489,,,,,
181,03/04/22 05:00:00 AM,22.489,,,,,
182,03/04/22 05:10:00 AM,22.465,,,,,
183,03/04/22 05:20:00 AM,22.441,,,,,
184,03/04/22 05:30:00 AM,22.441,,,,,
185,03/04/22 05:40:00 AM,22.441,,,,,
186,03/04/22 05:50:00 AM,22.441,,,,,
187,03/04/22 06:00:00 AM,22.417,,,,,
188,03/04/22 06:10:00 AM,22.417,,,,,
189,03/04/22 06:20:00 AM,22.417,,,,,
190,03/04/22 06:30:00 AM,22.417,,,,,
