"Plot Title: 20970102"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970102, SEN S/N: 20970102)","Coupler Detached (LGR S/N: 20970102)","Coupler Attached (LGR S/N: 20970102)","Host Connected (LGR S/N: 20970102)","Stopped (LGR S/N: 20970102)","End Of File (LGR S/N: 20970102)"
1,03/02/22 11:00:00 PM,22.034,Logged,,,,
2,03/02/22 11:10:00 PM,22.034,,,,,
3,03/02/22 11:20:00 PM,22.058,,,,,
4,03/02/22 11:30:00 PM,22.058,,,,,
5,03/02/22 11:40:00 PM,22.082,,,,,
6,03/02/22 11:50:00 PM,22.011,,,,,
7,03/03/22 12:00:00 AM,21.915,,,,,
8,03/03/22 12:10:00 AM,21.843,,,,,
9,03/03/22 12:20:00 AM,21.843,,,,,
10,03/03/22 12:30:00 AM,21.843,,,,,
11,03/03/22 12:40:00 AM,21.843,,,,,
12,03/03/22 12:50:00 AM,21.843,,,,,
13,03/03/22 01:00:00 AM,21.867,,,,,
14,03/03/22 01:10:00 AM,21.867,,,,,
15,03/03/22 01:20:00 AM,21.891,,,,,
16,03/03/22 01:30:00 AM,21.915,,,,,
17,03/03/22 01:40:00 AM,21.915,,,,,
18,03/03/22 01:50:00 AM,21.939,,,,,
19,03/03/22 02:00:00 AM,21.939,,,,,
20,03/03/22 02:10:00 AM,21.867,,,,,
21,03/03/22 02:20:00 AM,21.772,,,,,
22,03/03/22 02:30:00 AM,21.700,,,,,
23,03/03/22 02:40:00 AM,21.700,,,,,
24,03/03/22 02:50:00 AM,21.676,,,,,
25,03/03/22 03:00:00 AM,21.676,,,,,
26,03/03/22 03:10:00 AM,21.676,,,,,
27,03/03/22 03:20:00 AM,21.700,,,,,
28,03/03/22 03:30:00 AM,21.700,,,,,
29,03/03/22 03:40:00 AM,21.700,,,,,
30,03/03/22 03:50:00 AM,21.724,,,,,
31,03/03/22 04:00:00 AM,21.724,,,,,
32,03/03/22 04:10:00 AM,21.724,,,,,
33,03/03/22 04:20:00 AM,21.748,,,,,
34,03/03/22 04:30:00 AM,21.748,,,,,
35,03/03/22 04:40:00 AM,21.772,,,,,
36,03/03/22 04:50:00 AM,21.772,,,,,
37,03/03/22 05:00:00 AM,21.700,,,,,
38,03/03/22 05:10:00 AM,21.581,,,,,
39,03/03/22 05:20:00 AM,21.533,,,,,
40,03/03/22 05:30:00 AM,21.533,,,,,
41,03/03/22 05:40:00 AM,21.533,,,,,
42,03/03/22 05:50:00 AM,21.533,,,,,
43,03/03/22 06:00:00 AM,21.557,,,,,
44,03/03/22 06:10:00 AM,21.557,,,,,
45,03/03/22 06:20:00 AM,21.581,,,,,
46,03/03/22 06:30:00 AM,21.604,,,,,
47,03/03/22 06:40:00 AM,21.533,,,,,
48,03/03/22 06:50:00 AM,21.390,,,,,
49,03/03/22 07:00:00 AM,21.342,,,,,
50,03/03/22 07:10:00 AM,21.342,,,,,
51,03/03/22 07:20:00 AM,21.342,,,,,
52,03/03/22 07:30:00 AM,21.342,,,,,
53,03/03/22 07:40:00 AM,21.366,,,,,
54,03/03/22 07:50:00 AM,21.390,,,,,
55,03/03/22 08:00:00 AM,21.413,,,,,
56,03/03/22 08:10:00 AM,21.437,,,,,
57,03/03/22 08:20:00 AM,21.461,,,,,
58,03/03/22 08:30:00 AM,21.628,,,,,
59,03/03/22 08:40:00 AM,21.891,,,,,
60,03/03/22 08:50:00 AM,22.178,,,,,
61,03/03/22 09:00:00 AM,22.920,,,,,
62,03/03/22 09:10:00 AM,26.353,,,,,
63,03/03/22 09:20:00 AM,27.875,,,,,
64,03/03/22 09:30:00 AM,27.333,,,,,
65,03/03/22 09:40:00 AM,26.940,,,,,
66,03/03/22 09:50:00 AM,26.769,,,,,
67,03/03/22 10:00:00 AM,26.744,,,,,
68,03/03/22 10:10:00 AM,27.702,,,,,
69,03/03/22 10:20:00 AM,27.702,,,,,
70,03/03/22 10:30:00 AM,29.865,,,,,
71,03/03/22 10:40:00 AM,24.315,,,,,
72,03/03/22 10:50:00 AM,23.232,,,,,
73,03/03/22 11:00:00 AM,23.208,,,,,
74,03/03/22 11:10:00 AM,23.280,,,,,
75,03/03/22 11:20:00 AM,23.376,,,,,
76,03/03/22 11:30:00 AM,23.497,,,,,
77,03/03/22 11:40:00 AM,23.569,,,,,
