"Plot Title: 20970109"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970109, SEN S/N: 20970109)","Coupler Detached (LGR S/N: 20970109)","Coupler Attached (LGR S/N: 20970109)","Host Connected (LGR S/N: 20970109)","Stopped (LGR S/N: 20970109)","End Of File (LGR S/N: 20970109)"
1,11/10/22 03:00:00 AM,24.992,Logged,,,,
2,11/10/22 03:10:00 AM,24.944,,,,,
3,11/10/22 03:20:00 AM,24.919,,,,,
4,11/10/22 03:30:00 AM,24.871,,,,,
5,11/10/22 03:40:00 AM,24.847,,,,,
6,11/10/22 03:50:00 AM,24.823,,,,,
7,11/10/22 04:00:00 AM,24.774,,,,,
8,11/10/22 04:10:00 AM,24.750,,,,,
9,11/10/22 04:20:00 AM,24.726,,,,,
10,11/10/22 04:30:00 AM,24.702,,,,,
11,11/10/22 04:40:00 AM,24.653,,,,,
12,11/10/22 04:50:00 AM,24.629,,,,,
13,11/10/22 05:00:00 AM,24.605,,,,,
14,11/10/22 05:10:00 AM,24.581,,,,,
15,11/10/22 05:20:00 AM,24.532,,,,,
16,11/10/22 05:30:00 AM,24.508,,,,,
17,11/10/22 05:40:00 AM,24.484,,,,,
18,11/10/22 05:50:00 AM,24.460,,,,,
19,11/10/22 06:00:00 AM,24.436,,,,,
20,11/10/22 06:10:00 AM,24.436,,,,,
21,11/10/22 06:20:00 AM,24.412,,,,,
22,11/10/22 06:30:00 AM,24.388,,,,,
23,11/10/22 06:40:00 AM,24.363,,,,,
24,11/10/22 06:50:00 AM,24.363,,,,,
25,11/10/22 07:00:00 AM,24.339,,,,,
26,11/10/22 07:10:00 AM,24.339,,,,,
27,11/10/22 07:20:00 AM,24.339,,,,,
28,11/10/22 07:30:00 AM,24.339,,,,,
29,11/10/22 07:40:00 AM,24.339,,,,,
30,11/10/22 07:50:00 AM,24.388,,,,,
31,11/10/22 08:00:00 AM,24.363,,,,,
32,11/10/22 08:10:00 AM,24.363,,,,,
33,11/10/22 08:20:00 AM,24.388,,,,,
34,11/10/22 08:30:00 AM,24.557,,,,,
35,11/10/22 08:40:00 AM,24.895,,,,,
36,11/10/22 08:50:00 AM,25.744,,,,,
37,11/10/22 09:00:00 AM,27.850,,,,,
38,11/10/22 09:10:00 AM,26.965,,,,,
39,11/10/22 09:20:00 AM,27.308,,,,,
40,11/10/22 09:30:00 AM,31.026,,,,,
41,11/10/22 09:40:00 AM,32.073,,,,,
42,11/10/22 09:50:00 AM,28.023,,,,,
43,11/10/22 10:00:00 AM,24.702,,,,,
44,11/10/22 10:10:00 AM,24.267,,,,,
45,11/10/22 10:20:00 AM,24.219,,,,,
46,11/10/22 10:30:00 AM,24.219,,,,,
47,11/10/22 10:40:00 AM,24.243,,,,,
48,11/10/22 10:50:00 AM,24.267,,,,,
49,11/10/22 11:00:00 AM,24.315,,,,,
50,11/10/22 11:10:00 AM,24.363,,,,,
51,11/10/22 11:20:00 AM,24.412,,,,,
52,11/10/22 11:30:00 AM,24.436,,,,,
53,11/10/22 11:40:00 AM,24.436,,,,,
54,11/10/22 11:50:00 AM,24.460,,,,,
55,11/10/22 12:00:00 PM,24.508,,,,,
56,11/10/22 12:10:00 PM,24.532,,,,,
57,11/10/22 12:20:00 PM,24.557,,,,,
58,11/10/22 12:30:00 PM,24.557,,,,,
59,11/10/22 12:40:00 PM,24.605,,,,,
60,11/10/22 12:50:00 PM,24.629,,,,,
61,11/10/22 01:00:00 PM,24.702,,,,,
62,11/10/22 01:10:00 PM,24.677,,,,,
63,11/10/22 01:20:00 PM,24.750,,,,,
64,11/10/22 01:30:00 PM,24.750,,,,,
65,11/10/22 01:40:00 PM,24.726,,,,,
66,11/10/22 01:50:00 PM,24.750,,,,,
67,11/10/22 02:00:00 PM,24.750,,,,,
68,11/10/22 02:10:00 PM,24.774,,,,,
69,11/10/22 02:20:00 PM,24.798,,,,,
70,11/10/22 02:30:00 PM,24.847,,,,,
71,11/10/22 02:40:00 PM,24.823,,,,,
72,11/10/22 02:50:00 PM,24.823,,,,,
73,11/10/22 03:00:00 PM,24.823,,,,,
74,11/10/22 03:10:00 PM,24.823,,,,,
75,11/10/22 03:20:00 PM,24.798,,,,,
76,11/10/22 03:30:00 PM,24.798,,,,,
77,11/10/22 03:40:00 PM,24.798,,,,,
78,11/10/22 03:50:00 PM,24.774,,,,,
79,11/10/22 04:00:00 PM,24.774,,,,,
80,11/10/22 04:10:00 PM,24.750,,,,,
81,11/10/22 04:20:00 PM,24.750,,,,,
82,11/10/22 04:30:00 PM,24.726,,,,,
83,11/10/22 04:40:00 PM,24.726,,,,,
84,11/10/22 04:50:00 PM,24.702,,,,,
85,11/10/22 05:00:00 PM,24.702,,,,,
86,11/10/22 05:10:00 PM,24.677,,,,,
87,11/10/22 05:20:00 PM,24.677,,,,,
88,11/10/22 05:30:00 PM,24.653,,,,,
