"Plot Title: 20970109"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970109, SEN S/N: 20970109)","Coupler Detached (LGR S/N: 20970109)","Coupler Attached (LGR S/N: 20970109)","Host Connected (LGR S/N: 20970109)","Stopped (LGR S/N: 20970109)","End Of File (LGR S/N: 20970109)"
1,11/02/23 01:00:00,22.298,Logged,,,,
2,11/02/23 01:10:00,22.250,,,,,
3,11/02/23 01:20:00,22.250,,,,,
4,11/02/23 01:30:00,22.250,,,,,
5,11/02/23 01:40:00,22.274,,,,,
6,11/02/23 01:50:00,22.250,,,,,
7,11/02/23 02:00:00,22.226,,,,,
8,11/02/23 02:10:00,22.226,,,,,
9,11/02/23 02:20:00,22.226,,,,,
10,11/02/23 02:30:00,22.250,,,,,
11,11/02/23 02:40:00,22.178,,,,,
12,11/02/23 02:50:00,22.154,,,,,
13,11/02/23 03:00:00,22.130,,,,,
14,11/02/23 03:10:00,22.154,,,,,
15,11/02/23 03:20:00,22.106,,,,,
16,11/02/23 03:30:00,22.058,,,,,
17,11/02/23 03:40:00,22.058,,,,,
18,11/02/23 03:50:00,22.058,,,,,
19,11/02/23 04:00:00,22.082,,,,,
20,11/02/23 04:10:00,22.106,,,,,
21,11/02/23 04:20:00,22.058,,,,,
22,11/02/23 04:30:00,22.034,,,,,
23,11/02/23 04:40:00,22.058,,,,,
24,11/02/23 04:50:00,22.058,,,,,
25,11/02/23 05:00:00,22.058,,,,,
26,11/02/23 05:10:00,22.082,,,,,
27,11/02/23 05:20:00,22.106,,,,,
28,11/02/23 05:30:00,22.058,,,,,
29,11/02/23 05:40:00,22.034,,,,,
30,11/02/23 05:50:00,22.034,,,,,
31,11/02/23 06:00:00,22.034,,,,,
32,11/02/23 06:10:00,22.058,,,,,
33,11/02/23 06:20:00,22.058,,,,,
34,11/02/23 06:30:00,22.082,,,,,
35,11/02/23 06:40:00,22.034,,,,,
36,11/02/23 06:50:00,22.011,,,,,
37,11/02/23 07:00:00,21.987,,,,,
38,11/02/23 07:10:00,21.987,,,,,
39,11/02/23 07:20:00,21.939,,,,,
40,11/02/23 07:30:00,21.915,,,,,
41,11/02/23 07:40:00,21.915,,,,,
42,11/02/23 07:50:00,21.891,,,,,
43,11/02/23 08:00:00,21.867,,,,,
44,11/02/23 08:10:00,21.867,,,,,
45,11/02/23 08:20:00,21.843,,,,,
46,11/02/23 08:30:00,21.819,,,,,
47,11/02/23 08:40:00,22.896,,,,,
48,11/02/23 08:50:00,23.232,,,,,
49,11/02/23 09:00:00,25.040,,,,,
50,11/02/23 09:10:00,29.040,,,,,
51,11/02/23 09:20:00,27.431,,,,,
52,11/02/23 09:30:00,30.217,,,,,
53,11/02/23 09:40:00,26.769,,,,,
54,11/02/23 09:50:00,26.500,,,,,
55,11/02/23 10:00:00,26.451,,,,,
56,11/02/23 10:10:00,26.426,,,,,
