"Plot Title: 21445021"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21445021, SEN S/N: 21445021)","Coupler Detached (LGR S/N: 21445021)","Coupler Attached (LGR S/N: 21445021)","Host Connected (LGR S/N: 21445021)","Stopped (LGR S/N: 21445021)","End Of File (LGR S/N: 21445021)"
1,11/02/23 01:00:00,22.202,Logged,,,,
2,11/02/23 01:10:00,22.178,,,,,
3,11/02/23 01:20:00,22.202,,,,,
4,11/02/23 01:30:00,22.226,,,,,
5,11/02/23 01:40:00,22.250,,,,,
6,11/02/23 01:50:00,22.202,,,,,
7,11/02/23 02:00:00,22.178,,,,,
8,11/02/23 02:10:00,22.178,,,,,
9,11/02/23 02:20:00,22.202,,,,,
10,11/02/23 02:30:00,22.226,,,,,
11,11/02/23 02:40:00,22.106,,,,,
12,11/02/23 02:50:00,22.058,,,,,
13,11/02/23 03:00:00,22.106,,,,,
14,11/02/23 03:10:00,22.130,,,,,
15,11/02/23 03:20:00,22.034,,,,,
16,11/02/23 03:30:00,21.987,,,,,
17,11/02/23 03:40:00,22.011,,,,,
18,11/02/23 03:50:00,22.034,,,,,
19,11/02/23 04:00:00,22.058,,,,,
20,11/02/23 04:10:00,22.082,,,,,
21,11/02/23 04:20:00,22.011,,,,,
22,11/02/23 04:30:00,21.987,,,,,
23,11/02/23 04:40:00,22.011,,,,,
24,11/02/23 04:50:00,22.034,,,,,
25,11/02/23 05:00:00,22.058,,,,,
26,11/02/23 05:10:00,22.082,,,,,
27,11/02/23 05:20:00,22.106,,,,,
28,11/02/23 05:30:00,22.011,,,,,
29,11/02/23 05:40:00,21.963,,,,,
30,11/02/23 05:50:00,21.987,,,,,
31,11/02/23 06:00:00,22.011,,,,,
32,11/02/23 06:10:00,22.034,,,,,
33,11/02/23 06:20:00,22.058,,,,,
34,11/02/23 06:30:00,22.058,,,,,
35,11/02/23 06:40:00,21.987,,,,,
36,11/02/23 06:50:00,21.939,,,,,
37,11/02/23 07:00:00,21.963,,,,,
38,11/02/23 07:10:00,21.963,,,,,
39,11/02/23 07:20:00,21.843,,,,,
40,11/02/23 07:30:00,21.867,,,,,
41,11/02/23 07:40:00,21.891,,,,,
42,11/02/23 07:50:00,21.795,,,,,
43,11/02/23 08:00:00,21.819,,,,,
44,11/02/23 08:10:00,21.843,,,,,
45,11/02/23 08:20:00,21.748,,,,,
46,11/02/23 08:30:00,21.795,,,,,
47,11/02/23 08:40:00,23.737,,,,,
48,11/02/23 08:50:00,24.002,,,,,
49,11/02/23 09:00:00,27.505,,,,,
50,11/02/23 09:10:00,29.790,,,,,
51,11/02/23 09:20:00,27.677,,,,,
52,11/02/23 09:30:00,27.382,,,,,
53,11/02/23 09:40:00,26.500,,,,,
54,11/02/23 09:50:00,26.500,,,,,
55,11/02/23 10:00:00,27.850,,,,,
56,11/02/23 10:10:00,30.419,,,,,
57,11/02/23 10:20:00,26.720,,,,,
58,11/02/23 10:30:00,26.622,,,,,
59,11/02/23 10:40:00,26.720,,,,,
60,11/02/23 10:50:00,26.671,,,,,
61,11/02/23 11:00:00,26.598,,,,,
62,11/02/23 11:10:00,26.500,,,,,
63,11/02/23 11:20:00,26.402,,,,,
64,11/02/23 11:30:00,26.280,,,,,
65,11/02/23 11:40:00,26.207,,,,,
66,11/02/23 11:50:00,26.158,,,,,
67,11/02/23 12:00:00,26.061,,,,,
68,11/02/23 12:10:00,25.987,,,,,
69,11/02/23 12:20:00,25.914,,,,,
70,11/02/23 12:30:00,25.866,,,,,
71,11/02/23 12:40:00,25.817,,,,,
72,11/02/23 12:50:00,25.793,,,,,
73,11/02/23 13:00:00,25.695,,,,,
74,11/02/23 13:10:00,25.647,,,,,
75,11/02/23 13:20:00,25.598,,,,,
76,11/02/23 13:30:00,25.525,,,,,
77,11/02/23 13:40:00,25.453,,,,,
78,11/02/23 13:50:00,25.404,,,,,
79,11/02/23 14:00:00,25.355,,,,,
80,11/02/23 14:10:00,25.283,,,,,
81,11/02/23 14:20:00,25.234,,,,,
82,11/02/23 14:30:00,25.186,,,,,
83,11/02/23 14:40:00,25.137,,,,,
84,11/02/23 14:50:00,25.089,,,,,
85,11/02/23 15:00:00,25.016,,,,,
86,11/02/23 15:10:00,24.968,,,,,
87,11/02/23 15:20:00,24.919,,,,,
88,11/02/23 15:30:00,24.847,,,,,
89,11/02/23 15:40:00,24.798,,,,,
90,11/02/23 15:50:00,24.750,,,,,
91,11/02/23 16:00:00,24.677,,,,,
92,11/02/23 16:10:00,24.629,,,,,
93,11/02/23 16:20:00,24.581,,,,,
94,11/02/23 16:30:00,24.557,,,,,
95,11/02/23 16:40:00,24.508,,,,,
