"Plot Title: 20970123"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970123, SEN S/N: 20970123)","Coupler Detached (LGR S/N: 20970123)","Coupler Attached (LGR S/N: 20970123)","Host Connected (LGR S/N: 20970123)","Stopped (LGR S/N: 20970123)","End Of File (LGR S/N: 20970123)"
1,11/02/23 01:00:00,22.058,Logged,,,,
2,11/02/23 01:10:00,22.034,,,,,
3,11/02/23 01:20:00,22.082,,,,,
4,11/02/23 01:30:00,22.130,,,,,
5,11/02/23 01:40:00,22.154,,,,,
6,11/02/23 01:50:00,22.106,,,,,
7,11/02/23 02:00:00,22.058,,,,,
8,11/02/23 02:10:00,22.082,,,,,
9,11/02/23 02:20:00,22.106,,,,,
10,11/02/23 02:30:00,22.130,,,,,
11,11/02/23 02:40:00,21.987,,,,,
12,11/02/23 02:50:00,21.963,,,,,
13,11/02/23 03:00:00,21.987,,,,,
14,11/02/23 03:10:00,22.034,,,,,
15,11/02/23 03:20:00,21.915,,,,,
16,11/02/23 03:30:00,21.867,,,,,
17,11/02/23 03:40:00,21.915,,,,,
18,11/02/23 03:50:00,21.963,,,,,
19,11/02/23 04:00:00,21.987,,,,,
20,11/02/23 04:10:00,22.011,,,,,
21,11/02/23 04:20:00,21.891,,,,,
22,11/02/23 04:30:00,21.915,,,,,
23,11/02/23 04:40:00,21.939,,,,,
24,11/02/23 04:50:00,21.963,,,,,
25,11/02/23 05:00:00,21.987,,,,,
26,11/02/23 05:10:00,22.011,,,,,
27,11/02/23 05:20:00,22.034,,,,,
28,11/02/23 05:30:00,21.915,,,,,
29,11/02/23 05:40:00,21.891,,,,,
30,11/02/23 05:50:00,21.915,,,,,
31,11/02/23 06:00:00,21.939,,,,,
32,11/02/23 06:10:00,21.963,,,,,
33,11/02/23 06:20:00,21.987,,,,,
34,11/02/23 06:30:00,22.011,,,,,
35,11/02/23 06:40:00,21.891,,,,,
36,11/02/23 06:50:00,21.843,,,,,
37,11/02/23 07:00:00,21.867,,,,,
38,11/02/23 07:10:00,21.867,,,,,
39,11/02/23 07:20:00,21.748,,,,,
40,11/02/23 07:30:00,21.772,,,,,
41,11/02/23 07:40:00,21.819,,,,,
42,11/02/23 07:50:00,21.700,,,,,
43,11/02/23 08:00:00,21.724,,,,,
44,11/02/23 08:10:00,21.772,,,,,
45,11/02/23 08:20:00,21.652,,,,,
46,11/02/23 08:30:00,21.700,,,,,
47,11/02/23 08:40:00,23.256,,,,,
48,11/02/23 08:50:00,23.497,,,,,
49,11/02/23 09:00:00,26.280,,,,,
50,11/02/23 09:10:00,28.023,,,,,
51,11/02/23 09:20:00,27.112,,,,,
52,11/02/23 09:30:00,26.622,,,,,
53,11/02/23 09:40:00,25.866,,,,,
54,11/02/23 09:50:00,25.939,,,,,
55,11/02/23 10:00:00,27.653,,,,,
56,11/02/23 10:10:00,27.949,,,,,
57,11/02/23 10:20:00,28.617,,,,,
58,11/02/23 10:30:00,28.048,,,,,
59,11/02/23 10:40:00,29.414,,,,,
60,11/02/23 10:50:00,29.389,,,,,
61,11/02/23 11:00:00,29.414,,,,,
62,11/02/23 11:10:00,29.515,,,,,
63,11/02/23 11:20:00,29.815,,,,,
64,11/02/23 11:30:00,29.640,,,,,
65,11/02/23 11:40:00,29.790,,,,,
66,11/02/23 11:50:00,30.268,,,,,
67,11/02/23 12:00:00,29.941,,,,,
68,11/02/23 12:10:00,29.991,,,,,
69,11/02/23 12:20:00,29.815,,,,,
70,11/02/23 12:30:00,28.941,,,,,
71,11/02/23 12:40:00,29.015,,,,,
72,11/02/23 12:50:00,29.414,,,,,
73,11/02/23 13:00:00,29.340,,,,,
74,11/02/23 13:10:00,29.240,,,,,
75,11/02/23 13:20:00,29.414,,,,,
76,11/02/23 13:30:00,29.615,,,,,
77,11/02/23 13:40:00,29.590,,,,,
78,11/02/23 13:50:00,29.865,,,,,
79,11/02/23 14:00:00,29.991,,,,,
80,11/02/23 14:10:00,29.515,,,,,
81,11/02/23 14:20:00,29.941,,,,,
82,11/02/23 14:30:00,30.545,,,,,
83,11/02/23 14:40:00,30.444,,,,,
84,11/02/23 14:50:00,31.255,,,,,
85,11/02/23 15:00:00,30.748,,,,,
86,11/02/23 15:10:00,30.369,,,,,
87,11/02/23 15:20:00,30.091,,,,,
88,11/02/23 15:30:00,30.950,,,,,
89,11/02/23 15:40:00,30.343,,,,,
90,11/02/23 15:50:00,30.419,,,,,
91,11/02/23 16:00:00,30.318,,,,,
92,11/02/23 16:10:00,30.495,,,,,
93,11/02/23 16:20:00,30.621,,,,,
94,11/02/23 16:30:00,30.672,,,,,
95,11/02/23 16:40:00,30.646,,,,,
96,11/02/23 16:50:00,30.571,,,,,
97,11/02/23 17:00:00,31.001,,,,,
98,11/02/23 17:10:00,31.001,,,,,
99,11/02/23 17:20:00,31.001,,,,,
100,11/02/23 17:30:00,31.128,,,,,
101,11/02/23 17:40:00,30.621,,,,,
102,11/02/23 17:50:00,30.142,,,,,
103,11/02/23 18:00:00,30.495,,,,,
104,11/02/23 18:10:00,30.621,,,,,
105,11/02/23 18:20:00,30.697,,,,,
106,11/02/23 18:30:00,30.773,,,,,
107,11/02/23 18:40:00,30.874,,,,,
108,11/02/23 18:50:00,30.925,,,,,
109,11/02/23 19:00:00,30.900,,,,,
110,11/02/23 19:10:00,30.950,,,,,
111,11/02/23 19:20:00,31.001,,,,,
112,11/02/23 19:30:00,30.976,,,,,
113,11/02/23 19:40:00,31.103,,,,,
114,11/02/23 19:50:00,31.128,,,,,
115,11/02/23 20:00:00,31.001,,,,,
116,11/02/23 20:10:00,30.925,,,,,
117,11/02/23 20:20:00,30.798,,,,,
118,11/02/23 20:30:00,30.773,,,,,
119,11/02/23 20:40:00,30.773,,,,,
120,11/02/23 20:50:00,30.596,,,,,
121,11/02/23 21:00:00,30.016,,,,,
122,11/02/23 21:10:00,30.142,,,,,
123,11/02/23 21:20:00,30.394,,,,,
124,11/02/23 21:30:00,30.469,,,,,
125,11/02/23 21:40:00,30.571,,,,,
126,11/02/23 21:50:00,30.520,,,,,
127,11/02/23 22:00:00,30.571,,,,,
128,11/02/23 22:10:00,30.520,,,,,
129,11/02/23 22:20:00,30.444,,,,,
130,11/02/23 22:30:00,30.621,,,,,
131,11/02/23 22:40:00,30.495,,,,,
132,11/02/23 22:50:00,30.419,,,,,
133,11/02/23 23:00:00,30.091,,,,,
134,11/02/23 23:10:00,30.091,,,,,
135,11/02/23 23:20:00,30.016,,,,,
136,11/02/23 23:30:00,29.740,,,,,
137,11/02/23 23:40:00,29.991,,,,,
138,11/02/23 23:50:00,29.840,,,,,
139,11/03/23 00:00:00,29.991,,,,,
140,11/03/23 00:10:00,29.966,,,,,
141,11/03/23 00:20:00,29.815,,,,,
142,11/03/23 00:30:00,29.790,,,,,
143,11/03/23 00:40:00,29.815,,,,,
144,11/03/23 00:50:00,29.715,,,,,
145,11/03/23 01:00:00,29.540,,,,,
146,11/03/23 01:10:00,29.389,,,,,
147,11/03/23 01:20:00,29.190,,,,,
148,11/03/23 01:30:00,29.015,,,,,
149,11/03/23 01:40:00,28.891,,,,,
150,11/03/23 01:50:00,28.717,,,,,
151,11/03/23 02:00:00,28.468,,,,,
152,11/03/23 02:10:00,28.468,,,,,
153,11/03/23 02:20:00,28.543,,,,,
154,11/03/23 02:30:00,28.667,,,,,
155,11/03/23 02:40:00,28.742,,,,,
156,11/03/23 02:50:00,28.642,,,,,
157,11/03/23 03:00:00,28.617,,,,,
158,11/03/23 03:10:00,28.593,,,,,
159,11/03/23 03:20:00,28.493,,,,,
160,11/03/23 03:30:00,28.369,,,,,
161,11/03/23 03:40:00,28.221,,,,,
162,11/03/23 03:50:00,28.221,,,,,
163,11/03/23 04:00:00,28.196,,,,,
164,11/03/23 04:10:00,28.122,,,,,
165,11/03/23 04:20:00,27.998,,,,,
166,11/03/23 04:30:00,27.998,,,,,
167,11/03/23 04:40:00,27.850,,,,,
168,11/03/23 04:50:00,27.677,,,,,
169,11/03/23 05:00:00,27.628,,,,,
170,11/03/23 05:10:00,27.628,,,,,
171,11/03/23 05:20:00,27.825,,,,,
172,11/03/23 05:30:00,27.850,,,,,
173,11/03/23 05:40:00,27.875,,,,,
174,11/03/23 05:50:00,28.122,,,,,
175,11/03/23 06:00:00,28.122,,,,,
176,11/03/23 06:10:00,28.245,,,,,
177,11/03/23 06:20:00,28.444,,,,,
178,11/03/23 06:30:00,28.642,,,,,
179,11/03/23 06:40:00,28.816,,,,,
180,11/03/23 06:50:00,29.015,,,,,
181,11/03/23 07:00:00,29.290,,,,,
182,11/03/23 07:10:00,29.340,,,,,
183,11/03/23 07:20:00,29.315,,,,,
184,11/03/23 07:30:00,29.315,,,,,
185,11/03/23 07:40:00,29.515,,,,,
186,11/03/23 07:50:00,29.340,,,,,
187,11/03/23 08:00:00,29.090,,,,,
188,11/03/23 08:10:00,28.916,,,,,
189,11/03/23 08:20:00,28.667,,,,,
190,11/03/23 08:30:00,28.518,,,,,
191,11/03/23 08:40:00,28.692,,,,,
192,11/03/23 08:50:00,28.593,,,,,
193,11/03/23 09:00:00,28.766,,,,,
194,11/03/23 09:10:00,28.791,,,,,
195,11/03/23 09:20:00,28.816,,,,,
196,11/03/23 09:30:00,28.941,,,,,
197,11/03/23 09:40:00,29.090,,,,,
198,11/03/23 09:50:00,29.115,,,,,
199,11/03/23 10:00:00,29.115,,,,,
200,11/03/23 10:10:00,29.165,,,,,
201,11/03/23 10:20:00,29.140,,,,,
202,11/03/23 10:30:00,29.140,,,,,
203,11/03/23 10:40:00,29.040,,,,,
204,11/03/23 10:50:00,29.240,,,,,
205,11/03/23 11:00:00,29.240,,,,,
206,11/03/23 11:10:00,29.140,,,,,
207,11/03/23 11:20:00,29.240,,,,,
208,11/03/23 11:30:00,29.565,,,,,
209,11/03/23 11:40:00,29.590,,,,,
210,11/03/23 11:50:00,29.615,,,,,
211,11/03/23 12:00:00,29.790,,,,,
212,11/03/23 12:10:00,29.590,,,,,
213,11/03/23 12:20:00,29.865,,,,,
214,11/03/23 12:30:00,29.840,,,,,
215,11/03/23 12:40:00,29.565,,,,,
216,11/03/23 12:50:00,30.016,,,,,
217,11/03/23 13:00:00,30.167,,,,,
218,11/03/23 13:10:00,29.565,,,,,
219,11/03/23 13:20:00,29.464,,,,,
220,11/03/23 13:30:00,29.815,,,,,
221,11/03/23 13:40:00,30.369,,,,,
222,11/03/23 13:50:00,30.318,,,,,
223,11/03/23 14:00:00,30.167,,,,,
224,11/03/23 14:10:00,30.419,,,,,
225,11/03/23 14:20:00,29.991,,,,,
226,11/03/23 14:30:00,30.369,,,,,
227,11/03/23 14:40:00,30.469,,,,,
228,11/03/23 14:50:00,30.469,,,,,
229,11/03/23 15:00:00,30.394,,,,,
230,11/03/23 15:10:00,30.318,,,,,
231,11/03/23 15:20:00,30.293,,,,,
232,11/03/23 15:30:00,30.495,,,,,
233,11/03/23 15:40:00,29.916,,,,,
234,11/03/23 15:50:00,30.394,,,,,
235,11/03/23 16:00:00,30.874,,,,,
236,11/03/23 16:10:00,30.773,,,,,
237,11/03/23 16:20:00,30.520,,,,,
238,11/03/23 16:30:00,30.243,,,,,
239,11/03/23 16:40:00,30.016,,,,,
240,11/03/23 16:50:00,30.142,,,,,
241,11/03/23 17:00:00,30.142,,,,,
242,11/03/23 17:10:00,30.697,,,,,
243,11/03/23 17:20:00,30.318,,,,,
244,11/03/23 17:30:00,30.545,,,,,
245,11/03/23 17:40:00,30.243,,,,,
246,11/03/23 17:50:00,30.117,,,,,
247,11/03/23 18:00:00,30.369,,,,,
248,11/03/23 18:10:00,29.890,,,,,
249,11/03/23 18:20:00,30.091,,,,,
250,11/03/23 18:30:00,29.941,,,,,
251,11/03/23 18:40:00,29.640,,,,,
252,11/03/23 18:50:00,29.916,,,,,
253,11/03/23 19:00:00,30.343,,,,,
254,11/03/23 19:10:00,29.765,,,,,
255,11/03/23 19:20:00,30.091,,,,,
256,11/03/23 19:30:00,29.340,,,,,
257,11/03/23 19:40:00,29.190,,,,,
258,11/03/23 19:50:00,28.270,,,,,
259,11/03/23 20:00:00,29.815,,,,,
260,11/03/23 20:10:00,28.543,,,,,
261,11/03/23 20:20:00,28.023,,,,,
262,11/03/23 20:30:00,28.916,,,,,
263,11/03/23 20:40:00,28.543,,,,,
264,11/03/23 20:50:00,29.040,,,,,
265,11/03/23 21:00:00,28.394,,,,,
266,11/03/23 21:10:00,27.974,,,,,
267,11/03/23 21:20:00,27.628,,,,,
268,11/03/23 21:30:00,27.998,,,,,
269,11/03/23 21:40:00,28.518,,,,,
270,11/03/23 21:50:00,28.270,,,,,
271,11/03/23 22:00:00,27.284,,,,,
272,11/03/23 22:10:00,27.776,,,,,
273,11/03/23 22:20:00,27.628,,,,,
274,11/03/23 22:30:00,27.431,,,,,
275,11/03/23 22:40:00,28.122,,,,,
276,11/03/23 22:50:00,27.974,,,,,
277,11/03/23 23:00:00,27.431,,,,,
278,11/03/23 23:10:00,27.136,,,,,
279,11/03/23 23:20:00,26.891,,,,,
280,11/03/23 23:30:00,27.505,,,,,
281,11/03/23 23:40:00,27.702,,,,,
282,11/03/23 23:50:00,26.842,,,,,
283,11/04/23 00:00:00,26.549,,,,,
284,11/04/23 00:10:00,26.769,,,,,
285,11/04/23 00:20:00,26.744,,,,,
286,11/04/23 00:30:00,27.235,,,,,
287,11/04/23 00:40:00,26.965,,,,,
288,11/04/23 00:50:00,26.940,,,,,
289,11/04/23 01:00:00,26.671,,,,,
290,11/04/23 01:10:00,26.402,,,,,
291,11/04/23 01:20:00,26.549,,,,,
292,11/04/23 01:30:00,26.695,,,,,
293,11/04/23 01:40:00,26.426,,,,,
294,11/04/23 01:50:00,26.207,,,,,
295,11/04/23 02:00:00,26.353,,,,,
296,11/04/23 02:10:00,26.402,,,,,
297,11/04/23 02:20:00,26.329,,,,,
298,11/04/23 02:30:00,26.109,,,,,
299,11/04/23 02:40:00,26.231,,,,,
300,11/04/23 02:50:00,26.158,,,,,
301,11/04/23 03:00:00,26.085,,,,,
302,11/04/23 03:10:00,25.939,,,,,
303,11/04/23 03:20:00,25.963,,,,,
304,11/04/23 03:30:00,25.841,,,,,
305,11/04/23 03:40:00,25.720,,,,,
306,11/04/23 03:50:00,26.182,,,,,
307,11/04/23 04:00:00,26.451,,,,,
308,11/04/23 04:10:00,26.207,,,,,
309,11/04/23 04:20:00,26.061,,,,,
310,11/04/23 04:30:00,26.304,,,,,
311,11/04/23 04:40:00,26.500,,,,,
312,11/04/23 04:50:00,26.329,,,,,
313,11/04/23 05:00:00,25.598,,,,,
314,11/04/23 05:10:00,26.061,,,,,
315,11/04/23 05:20:00,26.426,,,,,
316,11/04/23 05:30:00,26.867,,,,,
317,11/04/23 05:40:00,26.426,,,,,
318,11/04/23 05:50:00,25.525,,,,,
