"Plot Title: 20970094"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970094, SEN S/N: 20970094)","Coupler Detached (LGR S/N: 20970094)","Coupler Attached (LGR S/N: 20970094)","Host Connected (LGR S/N: 20970094)","Stopped (LGR S/N: 20970094)","End Of File (LGR S/N: 20970094)"
1,11/02/23 01:00:00,22.800,Logged,,,,
2,11/02/23 01:10:00,22.776,,,,,
3,11/02/23 01:20:00,22.753,,,,,
4,11/02/23 01:30:00,22.729,,,,,
5,11/02/23 01:40:00,22.729,,,,,
6,11/02/23 01:50:00,22.705,,,,,
7,11/02/23 02:00:00,22.705,,,,,
8,11/02/23 02:10:00,22.681,,,,,
9,11/02/23 02:20:00,22.681,,,,,
10,11/02/23 02:30:00,22.681,,,,,
11,11/02/23 02:40:00,22.633,,,,,
12,11/02/23 02:50:00,22.633,,,,,
13,11/02/23 03:00:00,22.609,,,,,
14,11/02/23 03:10:00,22.585,,,,,
15,11/02/23 03:20:00,22.561,,,,,
16,11/02/23 03:30:00,22.537,,,,,
17,11/02/23 03:40:00,22.513,,,,,
18,11/02/23 03:50:00,22.513,,,,,
19,11/02/23 04:00:00,22.489,,,,,
20,11/02/23 04:10:00,22.489,,,,,
21,11/02/23 04:20:00,22.489,,,,,
22,11/02/23 04:30:00,22.465,,,,,
23,11/02/23 04:40:00,22.465,,,,,
24,11/02/23 04:50:00,22.465,,,,,
25,11/02/23 05:00:00,22.465,,,,,
26,11/02/23 05:10:00,22.465,,,,,
27,11/02/23 05:20:00,22.465,,,,,
28,11/02/23 05:30:00,22.465,,,,,
29,11/02/23 05:40:00,22.441,,,,,
30,11/02/23 05:50:00,22.441,,,,,
31,11/02/23 06:00:00,22.441,,,,,
32,11/02/23 06:10:00,22.441,,,,,
33,11/02/23 06:20:00,22.441,,,,,
34,11/02/23 06:30:00,22.441,,,,,
35,11/02/23 06:40:00,22.441,,,,,
36,11/02/23 06:50:00,22.417,,,,,
37,11/02/23 07:00:00,22.393,,,,,
38,11/02/23 07:10:00,22.393,,,,,
39,11/02/23 07:20:00,22.369,,,,,
40,11/02/23 07:30:00,22.345,,,,,
41,11/02/23 07:40:00,22.345,,,,,
42,11/02/23 07:50:00,22.321,,,,,
43,11/02/23 08:00:00,22.298,,,,,
44,11/02/23 08:10:00,22.298,,,,,
45,11/02/23 08:20:00,22.298,,,,,
46,11/02/23 08:30:00,22.274,,,,,
47,11/02/23 08:40:00,23.857,,,,,
48,11/02/23 08:50:00,24.243,,,,,
49,11/02/23 09:00:00,26.744,,,,,
50,11/02/23 09:10:00,27.579,,,,,
51,11/02/23 09:20:00,26.646,,,,,
52,11/02/23 09:30:00,25.987,,,,,
53,11/02/23 09:40:00,25.525,,,,,
54,11/02/23 09:50:00,25.647,,,,,
55,11/02/23 10:00:00,27.210,,,,,
56,11/02/23 10:10:00,27.653,,,,,
