"Plot Title: 20970110"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970110, SEN S/N: 20970110)","Coupler Detached (LGR S/N: 20970110)","Coupler Attached (LGR S/N: 20970110)","Host Connected (LGR S/N: 20970110)","Stopped (LGR S/N: 20970110)","End Of File (LGR S/N: 20970110)"
1,10/05/22 11:00:00 AM,21.772,Logged,,,,
2,10/05/22 11:10:00 AM,21.795,,,,,
3,10/05/22 11:20:00 AM,21.819,,,,,
4,10/05/22 11:30:00 AM,21.843,,,,,
5,10/05/22 11:40:00 AM,21.867,,,,,
6,10/05/22 11:50:00 AM,21.891,,,,,
7,10/05/22 12:00:00 PM,21.915,,,,,
8,10/05/22 12:10:00 PM,21.939,,,,,
9,10/05/22 12:20:00 PM,21.963,,,,,
10,10/05/22 12:30:00 PM,21.987,,,,,
11,10/05/22 12:40:00 PM,22.011,,,,,
12,10/05/22 12:50:00 PM,22.058,,,,,
13,10/05/22 01:00:00 PM,22.106,,,,,
14,10/05/22 01:10:00 PM,22.154,,,,,
15,10/05/22 01:20:00 PM,22.202,,,,,
16,10/05/22 01:30:00 PM,22.274,,,,,
17,10/05/22 01:40:00 PM,22.321,,,,,
18,10/05/22 01:50:00 PM,22.393,,,,,
19,10/05/22 02:00:00 PM,22.417,,,,,
20,10/05/22 02:10:00 PM,22.393,,,,,
21,10/05/22 02:20:00 PM,22.393,,,,,
22,10/05/22 02:30:00 PM,22.345,,,,,
23,10/05/22 02:40:00 PM,22.274,,,,,
24,10/05/22 02:50:00 PM,22.250,,,,,
25,10/05/22 03:00:00 PM,22.202,,,,,
26,10/05/22 03:10:00 PM,22.154,,,,,
27,10/05/22 03:20:00 PM,22.130,,,,,
28,10/05/22 03:30:00 PM,22.106,,,,,
29,10/05/22 03:40:00 PM,22.058,,,,,
30,10/05/22 03:50:00 PM,22.058,,,,,
31,10/05/22 04:00:00 PM,21.987,,,,,
32,10/05/22 04:10:00 PM,21.987,,,,,
33,10/05/22 04:20:00 PM,21.915,,,,,
34,10/05/22 04:30:00 PM,21.867,,,,,
35,10/05/22 04:40:00 PM,21.819,,,,,
