"Plot Title: 20970115"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970115, SEN S/N: 20970115)","Coupler Detached (LGR S/N: 20970115)","Coupler Attached (LGR S/N: 20970115)","Host Connected (LGR S/N: 20970115)","Stopped (LGR S/N: 20970115)","End Of File (LGR S/N: 20970115)"
1,10/05/22 11:00:00 AM,21.819,Logged,,,,
2,10/05/22 11:10:00 AM,21.795,,,,,
3,10/05/22 11:20:00 AM,21.867,,,,,
4,10/05/22 11:30:00 AM,21.867,,,,,
5,10/05/22 11:40:00 AM,21.915,,,,,
6,10/05/22 11:50:00 AM,21.963,,,,,
7,10/05/22 12:00:00 PM,21.963,,,,,
8,10/05/22 12:10:00 PM,22.034,,,,,
9,10/05/22 12:20:00 PM,22.011,,,,,
10,10/05/22 12:30:00 PM,22.106,,,,,
11,10/05/22 12:40:00 PM,22.106,,,,,
12,10/05/22 12:50:00 PM,22.178,,,,,
13,10/05/22 01:00:00 PM,22.274,,,,,
14,10/05/22 01:10:00 PM,22.345,,,,,
15,10/05/22 01:20:00 PM,22.465,,,,,
16,10/05/22 01:30:00 PM,22.537,,,,,
17,10/05/22 01:40:00 PM,22.585,,,,,
18,10/05/22 01:50:00 PM,22.393,,,,,
19,10/05/22 02:00:00 PM,22.154,,,,,
20,10/05/22 02:10:00 PM,21.843,,,,,
21,10/05/22 02:20:00 PM,21.963,,,,,
22,10/05/22 02:30:00 PM,21.772,,,,,
23,10/05/22 02:40:00 PM,21.819,,,,,
24,10/05/22 02:50:00 PM,21.939,,,,,
25,10/05/22 03:00:00 PM,21.843,,,,,
26,10/05/22 03:10:00 PM,21.843,,,,,
27,10/05/22 03:20:00 PM,21.843,,,,,
28,10/05/22 03:30:00 PM,21.819,,,,,
29,10/05/22 03:40:00 PM,21.748,,,,,
30,10/05/22 03:50:00 PM,21.748,,,,,
31,10/05/22 04:00:00 PM,21.628,,,,,
32,10/05/22 04:10:00 PM,21.604,,,,,
33,10/05/22 04:20:00 PM,21.413,,,,,
34,10/05/22 04:30:00 PM,21.342,,,,,
35,10/05/22 04:40:00 PM,21.270,,,,,
36,10/05/22 04:50:00 PM,21.175,,,,,
37,10/05/22 05:00:00 PM,21.342,,,,,
38,10/05/22 05:10:00 PM,21.390,,,,,
39,10/05/22 05:20:00 PM,21.461,,,,,
40,10/05/22 05:30:00 PM,21.509,,,,,
41,10/05/22 05:40:00 PM,21.485,,,,,
42,10/05/22 05:50:00 PM,21.413,,,,,
43,10/05/22 06:00:00 PM,23.280,,,,,
44,10/05/22 06:10:00 PM,24.992,,,,,
45,10/05/22 06:20:00 PM,25.768,,,,,
46,10/05/22 06:30:00 PM,26.304,,,,,
47,10/05/22 06:40:00 PM,26.744,,,,,
