"Plot Title: 20970102"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970102, SEN S/N: 20970102)","Coupler Detached (LGR S/N: 20970102)","Coupler Attached (LGR S/N: 20970102)","Host Connected (LGR S/N: 20970102)","Stopped (LGR S/N: 20970102)","End Of File (LGR S/N: 20970102)"
1,10/05/22 11:00:00 AM,21.700,Logged,,,,
2,10/05/22 11:10:00 AM,21.700,,,,,
3,10/05/22 11:20:00 AM,21.748,,,,,
4,10/05/22 11:30:00 AM,21.748,,,,,
5,10/05/22 11:40:00 AM,21.795,,,,,
6,10/05/22 11:50:00 AM,21.819,,,,,
7,10/05/22 12:00:00 PM,21.819,,,,,
8,10/05/22 12:10:00 PM,21.867,,,,,
9,10/05/22 12:20:00 PM,21.891,,,,,
10,10/05/22 12:30:00 PM,21.939,,,,,
11,10/05/22 12:40:00 PM,21.963,,,,,
12,10/05/22 12:50:00 PM,22.011,,,,,
13,10/05/22 01:00:00 PM,22.106,,,,,
14,10/05/22 01:10:00 PM,22.178,,,,,
15,10/05/22 01:20:00 PM,22.250,,,,,
16,10/05/22 01:30:00 PM,22.345,,,,,
17,10/05/22 01:40:00 PM,22.393,,,,,
18,10/05/22 01:50:00 PM,22.465,,,,,
19,10/05/22 02:00:00 PM,22.441,,,,,
20,10/05/22 02:10:00 PM,22.250,,,,,
21,10/05/22 02:20:00 PM,22.250,,,,,
22,10/05/22 02:30:00 PM,22.106,,,,,
23,10/05/22 02:40:00 PM,22.011,,,,,
24,10/05/22 02:50:00 PM,22.082,,,,,
25,10/05/22 03:00:00 PM,22.058,,,,,
26,10/05/22 03:10:00 PM,21.939,,,,,
27,10/05/22 03:20:00 PM,21.915,,,,,
28,10/05/22 03:30:00 PM,21.843,,,,,
29,10/05/22 03:40:00 PM,21.748,,,,,
30,10/05/22 03:50:00 PM,21.772,,,,,
31,10/05/22 04:00:00 PM,21.628,,,,,
32,10/05/22 04:10:00 PM,21.628,,,,,
33,10/05/22 04:20:00 PM,21.413,,,,,
34,10/05/22 04:30:00 PM,21.366,,,,,
35,10/05/22 04:40:00 PM,21.294,,,,,
36,10/05/22 04:50:00 PM,21.223,,,,,
37,10/05/22 05:00:00 PM,21.366,,,,,
38,10/05/22 05:10:00 PM,21.390,,,,,
39,10/05/22 05:20:00 PM,21.461,,,,,
40,10/05/22 05:30:00 PM,21.509,,,,,
41,10/05/22 05:40:00 PM,21.509,,,,,
42,10/05/22 05:50:00 PM,21.413,,,,,
43,10/05/22 06:00:00 PM,22.345,,,,,
44,10/05/22 06:10:00 PM,23.737,,,,,
45,10/05/22 06:20:00 PM,24.532,,,,,
46,10/05/22 06:30:00 PM,25.186,,,,,
47,10/05/22 06:40:00 PM,25.720,,,,,
48,10/05/22 06:50:00 PM,26.134,,,,,
49,10/05/22 07:00:00 PM,26.426,,,,,
50,10/05/22 07:10:00 PM,26.646,,,,,
51,10/05/22 07:20:00 PM,26.842,,,,,
52,10/05/22 07:30:00 PM,26.965,,,,,
53,10/05/22 07:40:00 PM,27.087,,,,,
54,10/05/22 07:50:00 PM,27.186,,,,,
55,10/05/22 08:00:00 PM,27.259,,,,,
56,10/05/22 08:10:00 PM,27.333,,,,,
57,10/05/22 08:20:00 PM,27.333,,,,,
58,10/05/22 08:30:00 PM,27.358,,,,,
59,10/05/22 08:40:00 PM,27.358,,,,,
60,10/05/22 08:50:00 PM,27.382,,,,,
61,10/05/22 09:00:00 PM,27.382,,,,,
62,10/05/22 09:10:00 PM,27.358,,,,,
63,10/05/22 09:20:00 PM,27.407,,,,,
64,10/05/22 09:30:00 PM,27.431,,,,,
65,10/05/22 09:40:00 PM,27.407,,,,,
66,10/05/22 09:50:00 PM,27.358,,,,,
67,10/05/22 10:00:00 PM,27.333,,,,,
68,10/05/22 10:10:00 PM,27.333,,,,,
69,10/05/22 10:20:00 PM,27.308,,,,,
70,10/05/22 10:30:00 PM,27.308,,,,,
71,10/05/22 10:40:00 PM,27.259,,,,,
72,10/05/22 10:50:00 PM,27.210,,,,,
73,10/05/22 11:00:00 PM,27.136,,,,,
74,10/05/22 11:10:00 PM,27.087,,,,,
75,10/05/22 11:20:00 PM,27.014,,,,,
76,10/05/22 11:30:00 PM,26.965,,,,,
77,10/05/22 11:40:00 PM,26.940,,,,,
78,10/05/22 11:50:00 PM,26.916,,,,,
79,10/06/22 12:00:00 AM,26.867,,,,,
80,10/06/22 12:10:00 AM,26.842,,,,,
81,10/06/22 12:20:00 AM,26.769,,,,,
82,10/06/22 12:30:00 AM,26.720,,,,,
83,10/06/22 12:40:00 AM,26.695,,,,,
84,10/06/22 12:50:00 AM,26.671,,,,,
85,10/06/22 01:00:00 AM,26.598,,,,,
86,10/06/22 01:10:00 AM,26.475,,,,,
87,10/06/22 01:20:00 AM,26.402,,,,,
88,10/06/22 01:30:00 AM,26.378,,,,,
89,10/06/22 01:40:00 AM,26.353,,,,,
90,10/06/22 01:50:00 AM,26.329,,,,,
91,10/06/22 02:00:00 AM,26.304,,,,,
92,10/06/22 02:10:00 AM,26.256,,,,,
93,10/06/22 02:20:00 AM,26.182,,,,,
94,10/06/22 02:30:00 AM,26.109,,,,,
95,10/06/22 02:40:00 AM,26.061,,,,,
96,10/06/22 02:50:00 AM,26.036,,,,,
97,10/06/22 03:00:00 AM,26.012,,,,,
