"Plot Title: 20970108"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970108, SEN S/N: 20970108)","Coupler Detached (LGR S/N: 20970108)","Coupler Attached (LGR S/N: 20970108)","Host Connected (LGR S/N: 20970108)","Stopped (LGR S/N: 20970108)","End Of File (LGR S/N: 20970108)"
1,10/05/23 01:00:00 AM,21.246,Logged,,,,
2,10/05/23 01:10:00 AM,21.223,,,,,
3,10/05/23 01:20:00 AM,21.175,,,,,
4,10/05/23 01:30:00 AM,21.294,,,,,
5,10/05/23 01:40:00 AM,21.390,,,,,
6,10/05/23 01:50:00 AM,21.485,,,,,
7,10/05/23 02:00:00 AM,21.628,,,,,
8,10/05/23 02:10:00 AM,21.628,,,,,
9,10/05/23 02:20:00 AM,21.652,,,,,
10,10/05/23 02:30:00 AM,21.748,,,,,
11,10/05/23 02:40:00 AM,21.772,,,,,
12,10/05/23 02:50:00 AM,21.700,,,,,
13,10/05/23 03:00:00 AM,21.772,,,,,
14,10/05/23 03:10:00 AM,21.867,,,,,
15,10/05/23 03:20:00 AM,21.772,,,,,
16,10/05/23 03:30:00 AM,21.772,,,,,
17,10/05/23 03:40:00 AM,21.867,,,,,
18,10/05/23 03:50:00 AM,21.939,,,,,
19,10/05/23 04:00:00 AM,21.795,,,,,
20,10/05/23 04:10:00 AM,21.819,,,,,
21,10/05/23 04:20:00 AM,21.915,,,,,
22,10/05/23 04:30:00 AM,21.963,,,,,
23,10/05/23 04:40:00 AM,21.867,,,,,
24,10/05/23 04:50:00 AM,21.843,,,,,
25,10/05/23 05:00:00 AM,21.939,,,,,
26,10/05/23 05:10:00 AM,22.011,,,,,
27,10/05/23 05:20:00 AM,22.058,,,,,
28,10/05/23 05:30:00 AM,22.106,,,,,
29,10/05/23 05:40:00 AM,21.939,,,,,
30,10/05/23 05:50:00 AM,21.939,,,,,
31,10/05/23 06:00:00 AM,22.011,,,,,
32,10/05/23 06:10:00 AM,22.058,,,,,
33,10/05/23 06:20:00 AM,22.106,,,,,
34,10/05/23 06:30:00 AM,22.154,,,,,
35,10/05/23 06:40:00 AM,22.058,,,,,
36,10/05/23 06:50:00 AM,21.963,,,,,
37,10/05/23 07:00:00 AM,22.011,,,,,
38,10/05/23 07:10:00 AM,22.082,,,,,
39,10/05/23 07:20:00 AM,22.130,,,,,
40,10/05/23 07:30:00 AM,22.034,,,,,
41,10/05/23 07:40:00 AM,21.987,,,,,
42,10/05/23 07:50:00 AM,22.058,,,,,
43,10/05/23 08:00:00 AM,22.082,,,,,
44,10/05/23 08:10:00 AM,21.963,,,,,
45,10/05/23 08:20:00 AM,22.034,,,,,
46,10/05/23 08:30:00 AM,22.465,,,,,
47,10/05/23 08:40:00 AM,24.412,,,,,
48,10/05/23 08:50:00 AM,25.525,,,,,
49,10/05/23 09:00:00 AM,27.087,,,,,
50,10/05/23 09:10:00 AM,30.394,,,,,
51,10/05/23 09:20:00 AM,30.318,,,,,
52,10/05/23 09:30:00 AM,28.295,,,,,
53,10/05/23 09:40:00 AM,26.744,,,,,
54,10/05/23 09:50:00 AM,26.573,,,,,
55,10/05/23 10:00:00 AM,26.598,,,,,
56,10/05/23 10:10:00 AM,26.646,,,,,
57,10/05/23 10:20:00 AM,26.695,,,,,
58,10/05/23 10:30:00 AM,26.720,,,,,
59,10/05/23 10:40:00 AM,26.769,,,,,
60,10/05/23 10:50:00 AM,26.793,,,,,
61,10/05/23 11:00:00 AM,26.842,,,,,
62,10/05/23 11:10:00 AM,26.867,,,,,
63,10/05/23 11:20:00 AM,26.891,,,,,
64,10/05/23 11:30:00 AM,26.940,,,,,
65,10/05/23 11:40:00 AM,26.940,,,,,
66,10/05/23 11:50:00 AM,26.965,,,,,
67,10/05/23 12:00:00 PM,27.014,,,,,
68,10/05/23 12:10:00 PM,27.014,,,,,
69,10/05/23 12:20:00 PM,27.014,,,,,
70,10/05/23 12:30:00 PM,27.038,,,,,
71,10/05/23 12:40:00 PM,27.087,,,,,
72,10/05/23 12:50:00 PM,27.161,,,,,
73,10/05/23 01:00:00 PM,27.210,,,,,
74,10/05/23 01:10:00 PM,27.284,,,,,
75,10/05/23 01:20:00 PM,27.358,,,,,
76,10/05/23 01:30:00 PM,27.431,,,,,
77,10/05/23 01:40:00 PM,27.530,,,,,
78,10/05/23 01:50:00 PM,27.579,,,,,
79,10/05/23 02:00:00 PM,27.677,,,,,
80,10/05/23 02:10:00 PM,27.677,,,,,
81,10/05/23 02:20:00 PM,27.677,,,,,
82,10/05/23 02:30:00 PM,27.628,,,,,
83,10/05/23 02:40:00 PM,27.628,,,,,
84,10/05/23 02:50:00 PM,27.628,,,,,
85,10/05/23 03:00:00 PM,27.727,,,,,
86,10/05/23 03:10:00 PM,27.751,,,,,
