"Plot Title: 20970107"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970107, SEN S/N: 20970107)","Coupler Detached (LGR S/N: 20970107)","Coupler Attached (LGR S/N: 20970107)","Host Connected (LGR S/N: 20970107)","Stopped (LGR S/N: 20970107)","End Of File (LGR S/N: 20970107)"
1,10/05/23 01:00:00 AM,20.936,Logged,,,,
2,10/05/23 01:10:00 AM,20.889,,,,,
3,10/05/23 01:20:00 AM,20.865,,,,,
4,10/05/23 01:30:00 AM,20.984,,,,,
5,10/05/23 01:40:00 AM,21.008,,,,,
6,10/05/23 01:50:00 AM,21.079,,,,,
7,10/05/23 02:00:00 AM,21.199,,,,,
8,10/05/23 02:10:00 AM,21.151,,,,,
9,10/05/23 02:20:00 AM,21.199,,,,,
10,10/05/23 02:30:00 AM,21.294,,,,,
11,10/05/23 02:40:00 AM,21.294,,,,,
12,10/05/23 02:50:00 AM,21.223,,,,,
13,10/05/23 03:00:00 AM,21.294,,,,,
14,10/05/23 03:10:00 AM,21.390,,,,,
15,10/05/23 03:20:00 AM,21.270,,,,,
16,10/05/23 03:30:00 AM,21.294,,,,,
17,10/05/23 03:40:00 AM,21.390,,,,,
18,10/05/23 03:50:00 AM,21.461,,,,,
19,10/05/23 04:00:00 AM,21.342,,,,,
20,10/05/23 04:10:00 AM,21.342,,,,,
21,10/05/23 04:20:00 AM,21.437,,,,,
22,10/05/23 04:30:00 AM,21.533,,,,,
23,10/05/23 04:40:00 AM,21.390,,,,,
24,10/05/23 04:50:00 AM,21.390,,,,,
25,10/05/23 05:00:00 AM,21.485,,,,,
26,10/05/23 05:10:00 AM,21.557,,,,,
27,10/05/23 05:20:00 AM,21.604,,,,,
28,10/05/23 05:30:00 AM,21.676,,,,,
29,10/05/23 05:40:00 AM,21.509,,,,,
30,10/05/23 05:50:00 AM,21.509,,,,,
31,10/05/23 06:00:00 AM,21.581,,,,,
32,10/05/23 06:10:00 AM,21.628,,,,,
33,10/05/23 06:20:00 AM,21.676,,,,,
34,10/05/23 06:30:00 AM,21.724,,,,,
35,10/05/23 06:40:00 AM,21.581,,,,,
36,10/05/23 06:50:00 AM,21.533,,,,,
37,10/05/23 07:00:00 AM,21.604,,,,,
38,10/05/23 07:10:00 AM,21.652,,,,,
39,10/05/23 07:20:00 AM,21.724,,,,,
40,10/05/23 07:30:00 AM,21.581,,,,,
41,10/05/23 07:40:00 AM,21.557,,,,,
42,10/05/23 07:50:00 AM,21.628,,,,,
43,10/05/23 08:00:00 AM,21.628,,,,,
44,10/05/23 08:10:00 AM,21.533,,,,,
45,10/05/23 08:20:00 AM,21.604,,,,,
46,10/05/23 08:30:00 AM,22.034,,,,,
47,10/05/23 08:40:00 AM,23.689,,,,,
48,10/05/23 08:50:00 AM,24.629,,,,,
49,10/05/23 09:00:00 AM,26.329,,,,,
