"Plot Title: 20970122"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970122, SEN S/N: 20970122)","Coupler Detached (LGR S/N: 20970122)","Coupler Attached (LGR S/N: 20970122)","Host Connected (LGR S/N: 20970122)","Stopped (LGR S/N: 20970122)","End Of File (LGR S/N: 20970122)"
1,10/05/23 01:00:00 AM,20.913,Logged,,,,
2,10/05/23 01:10:00 AM,20.889,,,,,
3,10/05/23 01:20:00 AM,20.865,,,,,
4,10/05/23 01:30:00 AM,20.960,,,,,
5,10/05/23 01:40:00 AM,21.032,,,,,
6,10/05/23 01:50:00 AM,21.056,,,,,
7,10/05/23 02:00:00 AM,21.175,,,,,
8,10/05/23 02:10:00 AM,21.151,,,,,
9,10/05/23 02:20:00 AM,21.175,,,,,
10,10/05/23 02:30:00 AM,21.246,,,,,
11,10/05/23 02:40:00 AM,21.270,,,,,
12,10/05/23 02:50:00 AM,21.223,,,,,
13,10/05/23 03:00:00 AM,21.270,,,,,
14,10/05/23 03:10:00 AM,21.366,,,,,
15,10/05/23 03:20:00 AM,21.294,,,,,
16,10/05/23 03:30:00 AM,21.294,,,,,
17,10/05/23 03:40:00 AM,21.366,,,,,
18,10/05/23 03:50:00 AM,21.437,,,,,
19,10/05/23 04:00:00 AM,21.342,,,,,
20,10/05/23 04:10:00 AM,21.342,,,,,
21,10/05/23 04:20:00 AM,21.413,,,,,
22,10/05/23 04:30:00 AM,21.485,,,,,
23,10/05/23 04:40:00 AM,21.390,,,,,
24,10/05/23 04:50:00 AM,21.390,,,,,
25,10/05/23 05:00:00 AM,21.461,,,,,
26,10/05/23 05:10:00 AM,21.533,,,,,
27,10/05/23 05:20:00 AM,21.557,,,,,
28,10/05/23 05:30:00 AM,21.628,,,,,
29,10/05/23 05:40:00 AM,21.509,,,,,
30,10/05/23 05:50:00 AM,21.485,,,,,
31,10/05/23 06:00:00 AM,21.557,,,,,
32,10/05/23 06:10:00 AM,21.604,,,,,
33,10/05/23 06:20:00 AM,21.628,,,,,
34,10/05/23 06:30:00 AM,21.676,,,,,
35,10/05/23 06:40:00 AM,21.604,,,,,
36,10/05/23 06:50:00 AM,21.533,,,,,
37,10/05/23 07:00:00 AM,21.581,,,,,
38,10/05/23 07:10:00 AM,21.628,,,,,
39,10/05/23 07:20:00 AM,21.676,,,,,
40,10/05/23 07:30:00 AM,21.581,,,,,
41,10/05/23 07:40:00 AM,21.533,,,,,
42,10/05/23 07:50:00 AM,21.604,,,,,
43,10/05/23 08:00:00 AM,21.604,,,,,
44,10/05/23 08:10:00 AM,21.509,,,,,
45,10/05/23 08:20:00 AM,21.581,,,,,
46,10/05/23 08:30:00 AM,22.633,,,,,
47,10/05/23 08:40:00 AM,25.258,,,,,
48,10/05/23 08:50:00 AM,26.012,,,,,
49,10/05/23 09:00:00 AM,28.642,,,,,
50,10/05/23 09:10:00 AM,29.865,,,,,
51,10/05/23 09:20:00 AM,28.990,,,,,
52,10/05/23 09:30:00 AM,33.521,,,,,
53,10/05/23 09:40:00 AM,42.356,,,,,
54,10/05/23 09:50:00 AM,36.796,,,,,
55,10/05/23 10:00:00 AM,33.443,,,,,
56,10/05/23 10:10:00 AM,32.278,,,,,
57,10/05/23 10:20:00 AM,30.824,,,,,
