"Plot Title: 20970092"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970092, SEN S/N: 20970092)","Coupler Detached (LGR S/N: 20970092)","Coupler Attached (LGR S/N: 20970092)","Host Connected (LGR S/N: 20970092)","Stopped (LGR S/N: 20970092)","End Of File (LGR S/N: 20970092)"
1,10/05/23 01:00:00 AM,20.936,Logged,,,,
2,10/05/23 01:10:00 AM,20.889,,,,,
3,10/05/23 01:20:00 AM,20.889,,,,,
4,10/05/23 01:30:00 AM,20.960,,,,,
5,10/05/23 01:40:00 AM,20.960,,,,,
6,10/05/23 01:50:00 AM,21.032,,,,,
7,10/05/23 02:00:00 AM,21.151,,,,,
8,10/05/23 02:10:00 AM,21.079,,,,,
9,10/05/23 02:20:00 AM,21.103,,,,,
10,10/05/23 02:30:00 AM,21.223,,,,,
11,10/05/23 02:40:00 AM,21.223,,,,,
12,10/05/23 02:50:00 AM,21.151,,,,,
13,10/05/23 03:00:00 AM,21.223,,,,,
14,10/05/23 03:10:00 AM,21.342,,,,,
15,10/05/23 03:20:00 AM,21.223,,,,,
16,10/05/23 03:30:00 AM,21.223,,,,,
17,10/05/23 03:40:00 AM,21.318,,,,,
18,10/05/23 03:50:00 AM,21.413,,,,,
19,10/05/23 04:00:00 AM,21.270,,,,,
20,10/05/23 04:10:00 AM,21.294,,,,,
21,10/05/23 04:20:00 AM,21.390,,,,,
22,10/05/23 04:30:00 AM,21.461,,,,,
23,10/05/23 04:40:00 AM,21.342,,,,,
24,10/05/23 04:50:00 AM,21.342,,,,,
25,10/05/23 05:00:00 AM,21.413,,,,,
26,10/05/23 05:10:00 AM,21.485,,,,,
27,10/05/23 05:20:00 AM,21.533,,,,,
28,10/05/23 05:30:00 AM,21.581,,,,,
29,10/05/23 05:40:00 AM,21.437,,,,,
30,10/05/23 05:50:00 AM,21.437,,,,,
31,10/05/23 06:00:00 AM,21.509,,,,,
32,10/05/23 06:10:00 AM,21.557,,,,,
33,10/05/23 06:20:00 AM,21.581,,,,,
34,10/05/23 06:30:00 AM,21.652,,,,,
35,10/05/23 06:40:00 AM,21.533,,,,,
36,10/05/23 06:50:00 AM,21.485,,,,,
37,10/05/23 07:00:00 AM,21.533,,,,,
38,10/05/23 07:10:00 AM,21.581,,,,,
39,10/05/23 07:20:00 AM,21.628,,,,,
40,10/05/23 07:30:00 AM,21.557,,,,,
41,10/05/23 07:40:00 AM,21.509,,,,,
42,10/05/23 07:50:00 AM,21.581,,,,,
43,10/05/23 08:00:00 AM,21.581,,,,,
44,10/05/23 08:10:00 AM,21.461,,,,,
45,10/05/23 08:20:00 AM,21.581,,,,,
46,10/05/23 08:30:00 AM,22.753,,,,,
47,10/05/23 08:40:00 AM,25.331,,,,,
48,10/05/23 08:50:00 AM,26.158,,,,,
49,10/05/23 09:00:00 AM,28.766,,,,,
