"Plot Title: 21445019"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21445019, SEN S/N: 21445019)","Coupler Detached (LGR S/N: 21445019)","Coupler Attached (LGR S/N: 21445019)","Host Connected (LGR S/N: 21445019)","Stopped (LGR S/N: 21445019)","End Of File (LGR S/N: 21445019)"
1,10/05/23 01:00:00 AM,21.843,Logged,,,,
2,10/05/23 01:10:00 AM,21.819,,,,,
3,10/05/23 01:20:00 AM,21.795,,,,,
4,10/05/23 01:30:00 AM,21.843,,,,,
5,10/05/23 01:40:00 AM,21.819,,,,,
6,10/05/23 01:50:00 AM,21.867,,,,,
7,10/05/23 02:00:00 AM,21.939,,,,,
8,10/05/23 02:10:00 AM,21.891,,,,,
9,10/05/23 02:20:00 AM,21.915,,,,,
10,10/05/23 02:30:00 AM,21.987,,,,,
11,10/05/23 02:40:00 AM,21.963,,,,,
12,10/05/23 02:50:00 AM,21.939,,,,,
13,10/05/23 03:00:00 AM,22.011,,,,,
14,10/05/23 03:10:00 AM,22.058,,,,,
15,10/05/23 03:20:00 AM,21.987,,,,,
16,10/05/23 03:30:00 AM,22.011,,,,,
17,10/05/23 03:40:00 AM,22.058,,,,,
18,10/05/23 03:50:00 AM,22.106,,,,,
19,10/05/23 04:00:00 AM,22.011,,,,,
20,10/05/23 04:10:00 AM,22.034,,,,,
21,10/05/23 04:20:00 AM,22.106,,,,,
22,10/05/23 04:30:00 AM,22.154,,,,,
23,10/05/23 04:40:00 AM,22.034,,,,,
24,10/05/23 04:50:00 AM,22.058,,,,,
25,10/05/23 05:00:00 AM,22.130,,,,,
26,10/05/23 05:10:00 AM,22.154,,,,,
27,10/05/23 05:20:00 AM,22.202,,,,,
28,10/05/23 05:30:00 AM,22.226,,,,,
29,10/05/23 05:40:00 AM,22.130,,,,,
30,10/05/23 05:50:00 AM,22.154,,,,,
31,10/05/23 06:00:00 AM,22.178,,,,,
32,10/05/23 06:10:00 AM,22.226,,,,,
33,10/05/23 06:20:00 AM,22.250,,,,,
34,10/05/23 06:30:00 AM,22.274,,,,,
35,10/05/23 06:40:00 AM,22.202,,,,,
36,10/05/23 06:50:00 AM,22.178,,,,,
37,10/05/23 07:00:00 AM,22.202,,,,,
38,10/05/23 07:10:00 AM,22.250,,,,,
39,10/05/23 07:20:00 AM,22.274,,,,,
40,10/05/23 07:30:00 AM,22.178,,,,,
41,10/05/23 07:40:00 AM,22.178,,,,,
42,10/05/23 07:50:00 AM,22.226,,,,,
43,10/05/23 08:00:00 AM,22.202,,,,,
44,10/05/23 08:10:00 AM,22.178,,,,,
45,10/05/23 08:20:00 AM,22.226,,,,,
46,10/05/23 08:30:00 AM,22.920,,,,,
47,10/05/23 08:40:00 AM,24.653,,,,,
48,10/05/23 08:50:00 AM,25.428,,,,,
49,10/05/23 09:00:00 AM,27.136,,,,,
50,10/05/23 09:10:00 AM,28.493,,,,,
51,10/05/23 09:20:00 AM,28.543,,,,,
52,10/05/23 09:30:00 AM,32.458,,,,,
53,10/05/23 09:40:00 AM,42.624,,,,,
54,10/05/23 09:50:00 AM,37.261,,,,,
55,10/05/23 10:00:00 AM,33.730,,,,,
56,10/05/23 10:10:00 AM,32.846,,,,,
57,10/05/23 10:20:00 AM,24.412,,,,,
58,10/05/23 10:30:00 AM,23.545,,,,,
59,10/05/23 10:40:00 AM,23.424,,,,,
60,10/05/23 10:50:00 AM,23.376,,,,,
61,10/05/23 11:00:00 AM,23.376,,,,,
62,10/05/23 11:10:00 AM,23.400,,,,,
63,10/05/23 11:20:00 AM,23.376,,,,,
64,10/05/23 11:30:00 AM,23.400,,,,,
65,10/05/23 11:40:00 AM,23.376,,,,,
66,10/05/23 11:50:00 AM,23.400,,,,,
67,10/05/23 12:00:00 PM,23.400,,,,,
68,10/05/23 12:10:00 PM,23.400,,,,,
69,10/05/23 12:20:00 PM,23.424,,,,,
70,10/05/23 12:30:00 PM,23.448,,,,,
71,10/05/23 12:40:00 PM,23.472,,,,,
72,10/05/23 12:50:00 PM,23.497,,,,,
73,10/05/23 01:00:00 PM,23.545,,,,,
74,10/05/23 01:10:00 PM,23.545,,,,,
75,10/05/23 01:20:00 PM,23.593,,,,,
76,10/05/23 01:30:00 PM,23.617,,,,,
77,10/05/23 01:40:00 PM,23.641,,,,,
