"Plot Title: 20970094"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970094, SEN S/N: 20970094)","Coupler Detached (LGR S/N: 20970094)","Coupler Attached (LGR S/N: 20970094)","Host Connected (LGR S/N: 20970094)","Stopped (LGR S/N: 20970094)","End Of File (LGR S/N: 20970094)"
1,09/13/21 13:00:00,32.304,Logged,,,,
2,09/13/21 13:10:00,33.261,,,,,
3,09/13/21 13:20:00,33.391,,,,,
4,09/13/21 13:30:00,34.492,,,,,
5,09/13/21 13:40:00,31.996,,,,,
6,09/13/21 13:50:00,30.495,,,,,
7,09/13/21 14:00:00,30.041,,,,,
8,09/13/21 14:10:00,30.142,,,,,
9,09/13/21 14:20:00,33.809,,,,,
10,09/13/21 14:30:00,28.221,,,,,
11,09/13/21 14:40:00,27.974,,,,,
12,09/13/21 14:50:00,27.974,,,,,
13,09/13/21 15:00:00,27.924,,,,,
14,09/13/21 15:10:00,27.825,,,,,
15,09/13/21 15:20:00,27.677,,,,,
16,09/13/21 15:30:00,27.481,,,,,
17,09/13/21 15:40:00,27.358,,,,,
18,09/13/21 15:50:00,27.186,,,,,
19,09/13/21 16:00:00,27.063,,,,,
20,09/13/21 16:10:00,26.744,,,,,
21,09/13/21 16:20:00,26.622,,,,,
22,09/13/21 16:30:00,26.549,,,,,
23,09/13/21 16:40:00,26.475,,,,,
24,09/13/21 16:50:00,26.378,,,,,
25,09/13/21 17:00:00,26.280,,,,,
26,09/13/21 17:10:00,26.231,,,,,
27,09/13/21 17:20:00,26.182,,,,,
28,09/13/21 17:30:00,26.109,,,,,
29,09/13/21 17:40:00,25.963,,,,,
30,09/13/21 17:50:00,25.890,,,,,
31,09/13/21 18:00:00,25.793,,,,,
32,09/13/21 18:10:00,25.720,,,,,
33,09/13/21 18:20:00,25.647,,,,,
34,09/13/21 18:30:00,25.525,,,,,
35,09/13/21 18:40:00,25.428,,,,,
36,09/13/21 18:50:00,25.355,,,,,
37,09/13/21 19:00:00,25.307,,,,,
38,09/13/21 19:10:00,25.307,,,,,
39,09/13/21 19:20:00,25.283,,,,,
40,09/13/21 19:30:00,25.234,,,,,
41,09/13/21 19:40:00,25.210,,,,,
42,09/13/21 19:50:00,25.186,,,,,
43,09/13/21 20:00:00,25.162,,,,,
44,09/13/21 20:10:00,25.137,,,,,
45,09/13/21 20:20:00,25.137,,,,,
46,09/13/21 20:30:00,25.089,,,,,
47,09/13/21 20:40:00,25.040,,,,,
48,09/13/21 20:50:00,25.040,,,,,
49,09/13/21 21:00:00,24.992,,,,,
50,09/13/21 21:10:00,24.968,,,,,
51,09/13/21 21:20:00,24.992,,,,,
52,09/13/21 21:30:00,24.944,,,,,
53,09/13/21 21:40:00,24.944,,,,,
54,09/13/21 21:50:00,24.919,,,,,
55,09/13/21 22:00:00,24.895,,,,,
56,09/13/21 22:10:00,24.871,,,,,
57,09/13/21 22:20:00,24.871,,,,,
58,09/13/21 22:30:00,24.871,,,,,
59,09/13/21 22:40:00,24.895,,,,,
60,09/13/21 22:50:00,24.847,,,,,
61,09/13/21 23:00:00,24.847,,,,,
62,09/13/21 23:10:00,24.798,,,,,
63,09/13/21 23:20:00,24.774,,,,,
64,09/13/21 23:30:00,24.798,,,,,
65,09/13/21 23:40:00,24.798,,,,,
66,09/13/21 23:50:00,24.798,,,,,
67,09/14/21 00:00:00,24.774,,,,,
68,09/14/21 00:10:00,24.750,,,,,
69,09/14/21 00:20:00,24.702,,,,,
70,09/14/21 00:30:00,24.677,,,,,
71,09/14/21 00:40:00,24.677,,,,,
72,09/14/21 00:50:00,24.629,,,,,
73,09/14/21 01:00:00,24.629,,,,,
74,09/14/21 01:10:00,24.557,,,,,
75,09/14/21 01:20:00,24.532,,,,,
76,09/14/21 01:30:00,24.532,,,,,
77,09/14/21 01:40:00,24.532,,,,,
78,09/14/21 01:50:00,24.581,,,,,
79,09/14/21 02:00:00,24.581,,,,,
80,09/14/21 02:10:00,24.532,,,,,
81,09/14/21 02:20:00,24.484,,,,,
82,09/14/21 02:30:00,24.460,,,,,
83,09/14/21 02:40:00,24.412,,,,,
84,09/14/21 02:50:00,24.388,,,,,
85,09/14/21 03:00:00,24.388,,,,,
86,09/14/21 03:10:00,24.363,,,,,
87,09/14/21 03:20:00,24.363,,,,,
88,09/14/21 03:30:00,24.363,,,,,
89,09/14/21 03:40:00,24.315,,,,,
90,09/14/21 03:50:00,24.291,,,,,
91,09/14/21 04:00:00,24.315,,,,,
92,09/14/21 04:10:00,24.291,,,,,
93,09/14/21 04:20:00,24.219,,,,,
94,09/14/21 04:30:00,24.171,,,,,
95,09/14/21 04:40:00,24.171,,,,,
96,09/14/21 04:50:00,24.171,,,,,
97,09/14/21 05:00:00,24.146,,,,,
98,09/14/21 05:10:00,24.122,,,,,
99,09/14/21 05:20:00,24.146,,,,,
100,09/14/21 05:30:00,24.146,,,,,
101,09/14/21 05:40:00,24.146,,,,,
102,09/14/21 05:50:00,24.146,,,,,
103,09/14/21 06:00:00,24.146,,,,,
104,09/14/21 06:10:00,24.146,,,,,
105,09/14/21 06:20:00,24.098,,,,,
106,09/14/21 06:30:00,24.074,,,,,
107,09/14/21 06:40:00,24.074,,,,,
108,09/14/21 06:50:00,24.098,,,,,
109,09/14/21 07:00:00,24.146,,,,,
110,09/14/21 07:10:00,24.243,,,,,
111,09/14/21 07:20:00,24.315,,,,,
112,09/14/21 07:30:00,24.412,,,,,
