"Plot Title: 20970122"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970122, SEN S/N: 20970122)","Coupler Detached (LGR S/N: 20970122)","Coupler Attached (LGR S/N: 20970122)","Host Connected (LGR S/N: 20970122)","Stopped (LGR S/N: 20970122)","End Of File (LGR S/N: 20970122)"
1,09/20/24 01:00:00,23.400,Logged,,,,
2,09/20/24 01:10:00,23.424,,,,,
3,09/20/24 01:20:00,23.256,,,,,
4,09/20/24 01:30:00,23.304,,,,,
5,09/20/24 01:40:00,23.352,,,,,
6,09/20/24 01:50:00,23.328,,,,,
7,09/20/24 02:00:00,23.208,,,,,
8,09/20/24 02:10:00,23.256,,,,,
9,09/20/24 02:20:00,23.256,,,,,
10,09/20/24 02:30:00,23.160,,,,,
11,09/20/24 02:40:00,23.208,,,,,
12,09/20/24 02:50:00,23.232,,,,,
13,09/20/24 03:00:00,23.256,,,,,
14,09/20/24 03:10:00,23.136,,,,,
15,09/20/24 03:20:00,23.160,,,,,
16,09/20/24 03:30:00,23.208,,,,,
17,09/20/24 03:40:00,23.232,,,,,
18,09/20/24 03:50:00,23.160,,,,,
19,09/20/24 04:00:00,23.088,,,,,
20,09/20/24 04:10:00,23.136,,,,,
21,09/20/24 04:20:00,23.160,,,,,
22,09/20/24 04:30:00,23.184,,,,,
23,09/20/24 04:40:00,23.064,,,,,
24,09/20/24 04:50:00,23.064,,,,,
25,09/20/24 05:00:00,23.088,,,,,
26,09/20/24 05:10:00,23.136,,,,,
27,09/20/24 05:20:00,23.112,,,,,
28,09/20/24 05:30:00,23.016,,,,,
29,09/20/24 05:40:00,23.040,,,,,
30,09/20/24 05:50:00,23.088,,,,,
31,09/20/24 06:00:00,23.112,,,,,
32,09/20/24 06:10:00,22.968,,,,,
33,09/20/24 06:20:00,22.968,,,,,
34,09/20/24 06:30:00,23.016,,,,,
35,09/20/24 06:40:00,22.920,,,,,
36,09/20/24 06:50:00,22.896,,,,,
37,09/20/24 07:00:00,22.944,,,,,
38,09/20/24 07:10:00,22.896,,,,,
39,09/20/24 07:20:00,22.848,,,,,
40,09/20/24 07:30:00,22.896,,,,,
41,09/20/24 07:40:00,22.872,,,,,
42,09/20/24 07:50:00,22.824,,,,,
43,09/20/24 08:00:00,22.896,,,,,
44,09/20/24 08:10:00,22.872,,,,,
45,09/20/24 08:20:00,22.848,,,,,
46,09/20/24 08:30:00,22.920,,,,,
47,09/20/24 08:40:00,22.824,,,,,
48,09/20/24 08:50:00,22.872,,,,,
49,09/20/24 09:00:00,22.872,,,,,
50,09/20/24 09:10:00,22.824,,,,,
51,09/20/24 09:20:00,22.872,,,,,
52,09/20/24 09:30:00,22.776,,,,,
53,09/20/24 09:40:00,22.848,,,,,
54,09/20/24 09:50:00,22.753,,,,,
55,09/20/24 10:00:00,22.776,,,,,
56,09/20/24 10:10:00,22.681,,,,,
57,09/20/24 10:20:00,22.609,,,,,
58,09/20/24 10:30:00,22.657,,,,,
59,09/20/24 10:40:00,22.537,,,,,
60,09/20/24 10:50:00,22.537,,,,,
61,09/20/24 11:00:00,22.537,,,,,
62,09/20/24 11:10:00,22.417,,,,,
63,09/20/24 11:20:00,22.537,,,,,
64,09/20/24 11:30:00,22.465,,,,,
65,09/20/24 11:40:00,22.513,,,,,
66,09/20/24 11:50:00,22.537,,,,,
67,09/20/24 12:00:00,22.561,,,,,
68,09/20/24 12:10:00,22.681,,,,,
69,09/20/24 12:20:00,22.824,,,,,
70,09/20/24 12:30:00,22.968,,,,,
71,09/20/24 12:40:00,23.088,,,,,
72,09/20/24 12:50:00,23.208,,,,,
73,09/20/24 13:00:00,23.256,,,,,
74,09/20/24 13:10:00,23.352,,,,,
75,09/20/24 13:20:00,23.448,,,,,
76,09/20/24 13:30:00,23.545,,,,,
77,09/20/24 13:40:00,23.617,,,,,
78,09/20/24 13:50:00,23.689,,,,,
79,09/20/24 14:00:00,23.761,,,,,
80,09/20/24 14:10:00,23.833,,,,,
81,09/20/24 14:20:00,23.930,,,,,
82,09/20/24 14:30:00,24.002,,,,,
83,09/20/24 14:40:00,24.098,,,,,
84,09/20/24 14:50:00,24.171,,,,,
