"Plot Title: 21445021"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21445021, SEN S/N: 21445021)","Coupler Detached (LGR S/N: 21445021)","Coupler Attached (LGR S/N: 21445021)","Host Connected (LGR S/N: 21445021)","Stopped (LGR S/N: 21445021)","End Of File (LGR S/N: 21445021)"
1,09/20/24 01:00:00,23.448,Logged,,,,
2,09/20/24 01:10:00,23.448,,,,,
3,09/20/24 01:20:00,23.352,,,,,
4,09/20/24 01:30:00,23.376,,,,,
5,09/20/24 01:40:00,23.400,,,,,
6,09/20/24 01:50:00,23.400,,,,,
7,09/20/24 02:00:00,23.304,,,,,
8,09/20/24 02:10:00,23.328,,,,,
9,09/20/24 02:20:00,23.328,,,,,
10,09/20/24 02:30:00,23.256,,,,,
11,09/20/24 02:40:00,23.256,,,,,
12,09/20/24 02:50:00,23.280,,,,,
13,09/20/24 03:00:00,23.304,,,,,
14,09/20/24 03:10:00,23.232,,,,,
15,09/20/24 03:20:00,23.208,,,,,
16,09/20/24 03:30:00,23.232,,,,,
17,09/20/24 03:40:00,23.256,,,,,
18,09/20/24 03:50:00,23.232,,,,,
19,09/20/24 04:00:00,23.160,,,,,
20,09/20/24 04:10:00,23.184,,,,,
21,09/20/24 04:20:00,23.208,,,,,
22,09/20/24 04:30:00,23.208,,,,,
23,09/20/24 04:40:00,23.160,,,,,
24,09/20/24 04:50:00,23.112,,,,,
25,09/20/24 05:00:00,23.136,,,,,
26,09/20/24 05:10:00,23.160,,,,,
27,09/20/24 05:20:00,23.160,,,,,
28,09/20/24 05:30:00,23.088,,,,,
29,09/20/24 05:40:00,23.088,,,,,
30,09/20/24 05:50:00,23.112,,,,,
31,09/20/24 06:00:00,23.136,,,,,
32,09/20/24 06:10:00,23.064,,,,,
33,09/20/24 06:20:00,23.040,,,,,
34,09/20/24 06:30:00,23.064,,,,,
35,09/20/24 06:40:00,23.016,,,,,
36,09/20/24 06:50:00,22.968,,,,,
37,09/20/24 07:00:00,22.992,,,,,
38,09/20/24 07:10:00,22.968,,,,,
39,09/20/24 07:20:00,22.920,,,,,
40,09/20/24 07:30:00,22.944,,,,,
41,09/20/24 07:40:00,22.944,,,,,
42,09/20/24 07:50:00,22.896,,,,,
43,09/20/24 08:00:00,22.920,,,,,
44,09/20/24 08:10:00,22.920,,,,,
45,09/20/24 08:20:00,22.896,,,,,
46,09/20/24 08:30:00,22.920,,,,,
47,09/20/24 08:40:00,22.896,,,,,
48,09/20/24 08:50:00,22.896,,,,,
49,09/20/24 09:00:00,22.920,,,,,
50,09/20/24 09:10:00,22.872,,,,,
51,09/20/24 09:20:00,22.896,,,,,
52,09/20/24 09:30:00,22.872,,,,,
53,09/20/24 09:40:00,22.872,,,,,
54,09/20/24 09:50:00,22.824,,,,,
55,09/20/24 10:00:00,22.824,,,,,
56,09/20/24 10:10:00,22.776,,,,,
57,09/20/24 10:20:00,22.705,,,,,
58,09/20/24 10:30:00,22.729,,,,,
59,09/20/24 10:40:00,22.657,,,,,
60,09/20/24 10:50:00,22.633,,,,,
61,09/20/24 11:00:00,22.657,,,,,
62,09/20/24 11:10:00,22.561,,,,,
63,09/20/24 11:20:00,22.609,,,,,
64,09/20/24 11:30:00,22.585,,,,,
65,09/20/24 11:40:00,22.585,,,,,
66,09/20/24 11:50:00,22.633,,,,,
67,09/20/24 12:00:00,22.633,,,,,
68,09/20/24 12:10:00,22.729,,,,,
