"Plot Title: 20970092"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970092, SEN S/N: 20970092)","Coupler Detached (LGR S/N: 20970092)","Coupler Attached (LGR S/N: 20970092)","Host Connected (LGR S/N: 20970092)","Stopped (LGR S/N: 20970092)","End Of File (LGR S/N: 20970092)"
1,09/20/24 01:00:00,23.785,Logged,,,,
2,09/20/24 01:10:00,23.785,,,,,
3,09/20/24 01:20:00,23.737,,,,,
4,09/20/24 01:30:00,23.737,,,,,
5,09/20/24 01:40:00,23.737,,,,,
6,09/20/24 01:50:00,23.713,,,,,
7,09/20/24 02:00:00,23.665,,,,,
8,09/20/24 02:10:00,23.665,,,,,
9,09/20/24 02:20:00,23.665,,,,,
10,09/20/24 02:30:00,23.617,,,,,
11,09/20/24 02:40:00,23.593,,,,,
12,09/20/24 02:50:00,23.593,,,,,
13,09/20/24 03:00:00,23.593,,,,,
14,09/20/24 03:10:00,23.569,,,,,
15,09/20/24 03:20:00,23.545,,,,,
16,09/20/24 03:30:00,23.545,,,,,
17,09/20/24 03:40:00,23.545,,,,,
18,09/20/24 03:50:00,23.545,,,,,
19,09/20/24 04:00:00,23.497,,,,,
20,09/20/24 04:10:00,23.472,,,,,
21,09/20/24 04:20:00,23.472,,,,,
22,09/20/24 04:30:00,23.472,,,,,
23,09/20/24 04:40:00,23.448,,,,,
24,09/20/24 04:50:00,23.424,,,,,
25,09/20/24 05:00:00,23.424,,,,,
26,09/20/24 05:10:00,23.424,,,,,
27,09/20/24 05:20:00,23.424,,,,,
28,09/20/24 05:30:00,23.376,,,,,
29,09/20/24 05:40:00,23.376,,,,,
30,09/20/24 05:50:00,23.376,,,,,
31,09/20/24 06:00:00,23.376,,,,,
32,09/20/24 06:10:00,23.352,,,,,
33,09/20/24 06:20:00,23.304,,,,,
34,09/20/24 06:30:00,23.304,,,,,
35,09/20/24 06:40:00,23.304,,,,,
36,09/20/24 06:50:00,23.256,,,,,
37,09/20/24 07:00:00,23.256,,,,,
38,09/20/24 07:10:00,23.256,,,,,
39,09/20/24 07:20:00,23.232,,,,,
40,09/20/24 07:30:00,23.208,,,,,
41,09/20/24 07:40:00,23.208,,,,,
42,09/20/24 07:50:00,23.184,,,,,
43,09/20/24 08:00:00,23.208,,,,,
44,09/20/24 08:10:00,23.208,,,,,
45,09/20/24 08:20:00,23.184,,,,,
46,09/20/24 08:30:00,23.208,,,,,
47,09/20/24 08:40:00,23.184,,,,,
48,09/20/24 08:50:00,23.208,,,,,
49,09/20/24 09:00:00,23.208,,,,,
50,09/20/24 09:10:00,23.184,,,,,
51,09/20/24 09:20:00,23.208,,,,,
52,09/20/24 09:30:00,23.208,,,,,
53,09/20/24 09:40:00,23.208,,,,,
54,09/20/24 09:50:00,23.208,,,,,
55,09/20/24 10:00:00,23.208,,,,,
56,09/20/24 10:10:00,23.184,,,,,
57,09/20/24 10:20:00,23.160,,,,,
58,09/20/24 10:30:00,23.160,,,,,
59,09/20/24 10:40:00,23.136,,,,,
